#N_BLOCK:  ACCEPTANCE:
           1    0.238553
           2    0.238328
           3    0.238116
           4    0.237995
           5    0.237599
           6    0.237451
           7     0.23765
           8     0.23806
           9    0.238283
          10    0.238202
          11    0.238316
          12    0.238217
          13    0.238152
          14    0.238257
          15     0.23808
          16    0.237956
          17    0.238042
          18    0.238094
          19    0.238031
          20     0.23805
