#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       0.271       0.271           0
           2      0.6286      0.4498    0.126431
           3      0.2753    0.391633   0.0967465
           4     -1.4145     -0.0599    0.397714
           5     -0.1056    -0.06904    0.318276
           6     -0.2807   -0.104317    0.267178
           7      0.3532  -0.0389571    0.236869
           8      0.5367       0.033    0.217917
           9     -0.4061  -0.0157889     0.19909
          10     -0.0736    -0.02157    0.179265
          11      0.5522   0.0305909    0.170388
          12     -0.2143   0.0101833    0.157406
          13      0.4425   0.0434385     0.14877
          14      0.6068   0.0836786    0.143482
          15     -0.6683   0.0335467    0.142406
          16     -0.1789   0.0202687    0.134123
          17      0.0201   0.0202588    0.126233
          18     -0.5203 -0.00977222    0.122741
          19      0.6593   0.0254421    0.121227
          20     -0.3944     0.00445    0.116969
