#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     366.584     366.584           0
           2     367.148     366.866    0.199263
           3     376.488     370.074     2.62214
           4     398.245     377.117     6.40859
           5     375.844     376.862     5.13192
           6     377.499     376.968      4.2777
           7      362.25     374.866     4.15133
           8     358.521     372.822      4.1045
           9     374.387     372.996     3.65213
          10     380.739     373.771     3.36799
          11     364.671     372.943     3.16178
          12     369.984     372.697     2.90789
          13     361.756     371.855     2.80335
          14     372.799     371.923     2.60392
          15     400.288     373.814      3.0404
          16     369.499     373.544     2.86231
          17     364.109     372.989     2.74722
          18     370.908     372.873     2.59703
          19     384.756     373.499     2.53453
          20     379.873     373.817     2.42776
