#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761504   -0.761504           0
           2    -0.76106   -0.761282 0.000156978
           3   -0.761964   -0.761509 0.000213086
           4    -0.76362   -0.762037 0.000484112
           5   -0.764588   -0.762547 0.000598529
           6   -0.763224    -0.76266 0.000509292
           7     -0.7615   -0.762494 0.000462712
           8    -0.75888   -0.762043 0.000585251
           9   -0.759968   -0.761812  0.00056379
          10    -0.76288   -0.761919 0.000517427
          11   -0.761304   -0.761863 0.000473398
          12   -0.762676   -0.761931  0.00043877
          13   -0.762856   -0.762002 0.000410752
          14   -0.760552   -0.761898 0.000394251
          15   -0.765072    -0.76211  0.00042093
          16   -0.764192    -0.76224  0.00041425
          17    -0.76056   -0.762141 0.000401497
          18    -0.76094   -0.762074 0.000384697
          19   -0.763008   -0.762124 0.000367574
          20   -0.761656     -0.7621 0.000349938
