throws,avg,err
0, 0.994414, 0
100, 0.978865, 0.015549
200, 0.984897, 0.0108157
300, 0.995407, 0.0129975
400, 0.99865, 0.0105775
500, 0.991415, 0.0112667
600, 1.00267, 0.0147423
700, 1.00024, 0.0129959
800, 0.993417, 0.0133395
900, 0.98569, 0.0142152
1000, 0.986507, 0.0128841
1100, 0.99154, 0.012793
1200, 0.993097, 0.0118704
1300, 0.999505, 0.0127215
1400, 0.998829, 0.0118623
1500, 1.00885, 0.0149513
1600, 1.00364, 0.0149793
1700, 1.00089, 0.0143874
1800, 1.00146, 0.013621
1900, 1.00386, 0.0131416
2000, 1.00414, 0.0125033
2100, 0.998673, 0.0131132
2200, 0.999927, 0.0125927
2300, 0.999888, 0.0120567
2400, 0.99629, 0.0121112
2500, 0.994716, 0.011742
2600, 0.995387, 0.0113186
2700, 0.995292, 0.0109073
2800, 0.998779, 0.0110869
2900, 0.998349, 0.0107196
3000, 0.999238, 0.0104061
3100, 1.00153, 0.0103326
3200, 1.00025, 0.0100955
3300, 1.00162, 0.0098888
3400, 1.00216, 0.00961743
3500, 1.00248, 0.00935183
3600, 1.00429, 0.00927514
3700, 1.00456, 0.00903168
3800, 1.00298, 0.00893773
3900, 1.00536, 0.00903161
4000, 1.00542, 0.00880874
4100, 1.00451, 0.00864423
4200, 1.00531, 0.00847845
4300, 1.00505, 0.0082874
4400, 1.0037, 0.00821265
4500, 1.00398, 0.0080369
4600, 1.00254, 0.00799586
4700, 1.00229, 0.00783144
4800, 1.00222, 0.00767024
4900, 1.00139, 0.00756145
5000, 1.00179, 0.00742266
5100, 1.00178, 0.00727852
5200, 1.00301, 0.00724551
5300, 1.00317, 0.00711186
5400, 1.00257, 0.00700707
5500, 1.00295, 0.0068909
5600, 1.00382, 0.00682459
5700, 1.00377, 0.00670608
5800, 1.00454, 0.00663727
5900, 1.00407, 0.00654281
6000, 1.00541, 0.00657345
6100, 1.00521, 0.00646988
6200, 1.00552, 0.00637388
6300, 1.00614, 0.00630437
6400, 1.00489, 0.00633148
6500, 1.00482, 0.00623521
6600, 1.00483, 0.00614146
6700, 1.00384, 0.00613127
6800, 1.00383, 0.00604176
6900, 1.00522, 0.00611427
7000, 1.00507, 0.00602943
7100, 1.00466, 0.00595922
7200, 1.00388, 0.00592843
7300, 1.00431, 0.00586327
7400, 1.00465, 0.00579468
7500, 1.00412, 0.00574248
7600, 1.00377, 0.00567831
7700, 1.00378, 0.00560505
7800, 1.00437, 0.00556505
7900, 1.00342, 0.00557706
8000, 1.00265, 0.00556081
8100, 1.00292, 0.00549941
8200, 1.00312, 0.00543637
8300, 1.00337, 0.00537692
8400, 1.0022, 0.00544025
8500, 1.00254, 0.00538716
8600, 1.00238, 0.00532732
8700, 1.00152, 0.00533584
8800, 1.00132, 0.00527921
8900, 1.00195, 0.00525774
9000, 1.00114, 0.00526139
9100, 1.00088, 0.00521053
9200, 1.00098, 0.00515519
9300, 1.00051, 0.00512162
9400, 1.00057, 0.00506772
9500, 1.00101, 0.0050339
9600, 1.00065, 0.00499444
9700, 1.00104, 0.00495811
9800, 1.00025, 0.00497042
9900, 1.00065, 0.00493714
