throws,avg,err
0, 5.50815, 0
100, 5.64959, 0.14144
200, 5.14481, 0.511337
300, 4.98521, 0.395227
400, 5.01251, 0.307356
500, 5.15217, 0.287198
600, 5.15592, 0.242755
700, 4.99356, 0.265629
800, 5.06299, 0.244334
900, 5.13056, 0.228745
1000, 5.11617, 0.207407
1100, 5.14113, 0.190975
1200, 5.21427, 0.190289
1300, 5.20031, 0.176726
1400, 5.05482, 0.219626
1500, 5.13065, 0.218992
1600, 5.20382, 0.218332
1700, 5.11789, 0.223062
1800, 5.2217, 0.235152
1900, 5.27205, 0.228696
2000, 5.26437, 0.217669
2100, 5.26711, 0.207558
2200, 5.30457, 0.201835
2300, 5.30011, 0.193294
2400, 5.21855, 0.202549
2500, 5.27229, 0.201888
2600, 5.30855, 0.197622
2700, 5.30942, 0.190435
2800, 5.32468, 0.184384
2900, 5.29618, 0.180397
3000, 5.2832, 0.174963
3100, 5.24661, 0.173315
3200, 5.29171, 0.17393
3300, 5.25159, 0.173441
3400, 5.21926, 0.171486
3500, 5.25048, 0.169553
3600, 5.28115, 0.167735
3700, 5.26691, 0.163881
3800, 5.28225, 0.160359
3900, 5.35865, 0.173974
4000, 5.36876, 0.169978
4100, 5.35155, 0.166772
4200, 5.32773, 0.16458
4300, 5.33139, 0.160838
4400, 5.31878, 0.157728
4500, 5.33384, 0.154994
4600, 5.33798, 0.151717
4700, 5.32367, 0.149211
4800, 5.30411, 0.147437
4900, 5.31679, 0.145014
5000, 5.32169, 0.142226
5100, 5.31416, 0.139667
5200, 5.32147, 0.137201
5300, 5.31072, 0.135065
5400, 5.34367, 0.136619
5500, 5.34723, 0.134204
5600, 5.35658, 0.13216
5700, 5.35045, 0.130006
5800, 5.32881, 0.129604
5900, 5.33853, 0.127795
6000, 5.34723, 0.125984
6100, 5.32878, 0.1253
6200, 5.33022, 0.123304
6300, 5.34346, 0.122082
6400, 5.34509, 0.120201
6500, 5.3193, 0.121143
6600, 5.31992, 0.119323
6700, 5.31778, 0.117575
6800, 5.29514, 0.11805
6900, 5.29107, 0.116423
7000, 5.30129, 0.115225
7100, 5.29833, 0.113652
7200, 5.28809, 0.112551
7300, 5.30485, 0.112278
7400, 5.30478, 0.11077
7500, 5.30506, 0.109304
7600, 5.2995, 0.108018
7700, 5.29295, 0.106825
7800, 5.30095, 0.105767
7900, 5.31189, 0.105008
8000, 5.31006, 0.103719
8100, 5.29938, 0.103002
8200, 5.30212, 0.10179
8300, 5.30882, 0.100794
8400, 5.30659, 0.099626
8500, 5.30631, 0.0984612
8600, 5.31039, 0.0974084
8700, 5.30678, 0.0963627
8800, 5.3119, 0.0954111
8900, 5.30129, 0.0949397
9000, 5.29721, 0.093979
9100, 5.29322, 0.0930375
9200, 5.30099, 0.0923587
9300, 5.30726, 0.0915856
9400, 5.30099, 0.0908327
9500, 5.30491, 0.0899668
9600, 5.29587, 0.0894919
9700, 5.29242, 0.088641
9800, 5.30621, 0.0888177
9900, 5.32956, 0.0909738
