throws,avg,err
0, 110.572, 0
100, 109.743, 0.828485
200, 110.127, 0.613088
300, 110.187, 0.437683
400, 109.648, 0.63676
500, 109.819, 0.547122
600, 110.217, 0.610445
700, 111.072, 1.00476
800, 110.524, 1.04187
900, 110.578, 0.933488
1000, 110.831, 0.881419
1100, 110.952, 0.813592
1200, 110.905, 0.749857
1300, 111.123, 0.727757
1400, 111.55, 0.800763
1500, 111.24, 0.810791
1600, 111.01, 0.795563
1700, 111.16, 0.764896
1800, 110.884, 0.774415
1900, 110.817, 0.737715
2000, 110.685, 0.713963
2100, 110.567, 0.690968
2200, 110.65, 0.665504
2300, 110.56, 0.643496
2400, 110.836, 0.676205
2500, 110.727, 0.658866
2600, 110.529, 0.664056
2700, 110.584, 0.642274
2800, 110.668, 0.625302
2900, 110.678, 0.604183
3000, 110.789, 0.594858
3100, 110.793, 0.575984
3200, 110.688, 0.568009
3300, 110.757, 0.55531
3400, 110.744, 0.539368
3500, 110.619, 0.538941
3600, 110.589, 0.525017
3700, 110.64, 0.513584
3800, 110.551, 0.508086
3900, 110.375, 0.525708
4000, 110.337, 0.51409
4100, 110.372, 0.502896
4200, 110.394, 0.49158
4300, 110.493, 0.490298
4400, 110.584, 0.487744
4500, 110.541, 0.478915
4600, 110.548, 0.468663
4700, 110.583, 0.46014
4800, 110.599, 0.450938
4900, 110.558, 0.443741
5000, 110.532, 0.43574
5100, 110.544, 0.427452
5200, 110.566, 0.419891
5300, 110.59, 0.412756
5400, 110.518, 0.411571
5500, 110.534, 0.404464
5600, 110.554, 0.397807
5700, 110.574, 0.391393
5800, 110.675, 0.397711
5900, 110.687, 0.391231
6000, 110.687, 0.384765
6100, 110.703, 0.378854
6200, 110.749, 0.375618
6300, 110.722, 0.370649
6400, 110.673, 0.368243
6500, 110.696, 0.363339
6600, 110.721, 0.358749
6700, 110.714, 0.353503
6800, 110.783, 0.355279
6900, 110.82, 0.352044
7000, 110.803, 0.347479
7100, 110.858, 0.347064
7200, 110.877, 0.342831
7300, 110.819, 0.343122
7400, 110.774, 0.34149
7500, 110.775, 0.336967
7600, 110.783, 0.332668
7700, 110.794, 0.328543
7800, 110.789, 0.324393
7900, 110.766, 0.321165
8000, 110.775, 0.317323
8100, 110.842, 0.320457
8200, 110.85, 0.316661
8300, 110.801, 0.316696
8400, 110.768, 0.314671
8500, 110.772, 0.311026
8600, 110.785, 0.307691
8700, 110.776, 0.304319
8800, 110.757, 0.301444
8900, 110.791, 0.299938
9000, 110.858, 0.304267
9100, 110.864, 0.300986
9200, 110.805, 0.303352
9300, 110.813, 0.300202
9400, 110.767, 0.300568
9500, 110.74, 0.298662
9600, 110.758, 0.296143
9700, 110.765, 0.293186
9800, 110.722, 0.293426
9900, 110.663, 0.296391
