#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.92896     2.92896           0
           2      2.9305     2.92973 0.000543987
           3     2.93195     2.93047 0.000704095
           4     2.93331     2.93118 0.000810191
           5     2.93458     2.93186  0.00088911
           6     2.93577     2.93251 0.000950411
           7     2.93688     2.93314 0.000998891
           8     2.93792     2.93373  0.00103744
           9     2.93888      2.9343  0.00106799
          10     2.93977     2.93485  0.00109196
          11     2.94059     2.93537  0.00111045
          12     2.94136     2.93587   0.0011243
          13     2.94206     2.93635  0.00113425
          14     2.94272      2.9368  0.00114088
          15     2.94333     2.93724  0.00114471
          16     2.94389     2.93765  0.00114618
          17     2.94441     2.93805  0.00114569
          18     2.94491     2.93843  0.00114357
          19     2.94537      2.9388  0.00114014
          20      2.9458     2.93915  0.00113564
          21     2.94621     2.93948  0.00113033
          22     2.94661     2.93981  0.00112441
          23     2.94699     2.94012  0.00111807
          24     2.94736     2.94042  0.00111147
          25     2.94773     2.94071  0.00110476
          26     2.94809       2.941  0.00109806
          27     2.94844     2.94127  0.00109148
          28      2.9488     2.94154  0.00108512
          29     2.94916     2.94181  0.00107905
          30     2.94953     2.94206  0.00107336
          31      2.9499     2.94232   0.0010681
          32     2.95028     2.94256  0.00106331
          33     2.95066     2.94281  0.00105904
          34     2.95106     2.94305  0.00105531
          35     2.95146     2.94329  0.00105216
          36     2.95187     2.94353  0.00104959
          37      2.9523     2.94377  0.00104763
          38     2.95273       2.944  0.00104626
          39     2.95317     2.94424   0.0010455
          40     2.95362     2.94447  0.00104533
          41     2.95408     2.94471  0.00104576
          42     2.95454     2.94494  0.00104676
          43     2.95502     2.94518  0.00104832
          44      2.9555     2.94541  0.00105043
          45     2.95599     2.94565  0.00105306
          46     2.95648     2.94588   0.0010562
          47     2.95699     2.94612  0.00105983
          48     2.95749     2.94635  0.00106392
          49     2.95801     2.94659  0.00106844
          50     2.95852     2.94683  0.00107338
          51     2.95904     2.94707  0.00107872
          52     2.95957     2.94731  0.00108443
          53      2.9601     2.94755  0.00109048
          54     2.96063     2.94779  0.00109686
          55     2.96117     2.94804  0.00110355
          56     2.96171     2.94828  0.00111052
          57     2.96225     2.94853  0.00111775
          58     2.96279     2.94877  0.00112522
          59     2.96334     2.94902  0.00113291
          60     2.96389     2.94927   0.0011408
          61     2.96443     2.94952  0.00114886
          62     2.96498     2.94977  0.00115708
          63     2.96552     2.95002  0.00116542
          64     2.96606     2.95027  0.00117388
          65      2.9666     2.95052  0.00118241
          66     2.96714     2.95077  0.00119101
          67     2.96767     2.95102  0.00119963
          68     2.96819     2.95127  0.00120827
          69      2.9687     2.95153  0.00121688
          70     2.96921     2.95178  0.00122544
          71     2.96971     2.95203  0.00123392
          72     2.97019     2.95228  0.00124229
          73     2.97066     2.95254  0.00125052
          74     2.97112     2.95279  0.00125858
          75     2.97156     2.95304  0.00126643
          76     2.97198     2.95329  0.00127406
          77     2.97238     2.95353  0.00128141
          78     2.97276     2.95378  0.00128846
          79     2.97311     2.95403  0.00129519
          80     2.97344     2.95427  0.00130154
          81     2.97375     2.95451   0.0013075
          82     2.97402     2.95475  0.00131304
          83     2.97427     2.95498  0.00131811
          84     2.97448     2.95521  0.00132269
          85     2.97465     2.95544  0.00132675
          86     2.97479     2.95567  0.00133027
          87     2.97489     2.95589  0.00133321
          88     2.97495     2.95611  0.00133555
          89     2.97497     2.95632  0.00133726
          90     2.97495     2.95652  0.00133832
          91     2.97487     2.95673  0.00133871
          92     2.97475     2.95692  0.00133842
          93     2.97457     2.95711  0.00133741
          94     2.97434     2.95729  0.00133569
          95     2.97406     2.95747  0.00133323
          96     2.97371     2.95764  0.00133004
          97     2.97331      2.9578  0.00132609
          98     2.97284     2.95796  0.00132141
          99      2.9723      2.9581  0.00131598
         100     2.97169     2.95824  0.00130981
         101     2.97101     2.95836  0.00130294
         102     2.97025     2.95848  0.00129537
         103     2.96942     2.95859  0.00128714
         104      2.9685     2.95868  0.00127829
         105     2.96751     2.95876  0.00126888
         106     2.96642     2.95884  0.00125896
         107     2.96524      2.9589  0.00124862
         108     2.96398     2.95894  0.00123794
         109     2.96261     2.95898  0.00122704
         110     2.96116       2.959  0.00121605
         111      2.9596       2.959   0.0012051
         112     2.95795     2.95899  0.00119438
         113      2.9562     2.95897  0.00118407
         114     2.95436     2.95893  0.00117437
         115     2.95242     2.95887  0.00116552
         116     2.95039      2.9588  0.00115776
         117     2.94827     2.95871  0.00115136
         118     2.94607      2.9586  0.00114658
         119     2.94379     2.95848  0.00114368
         120     2.94145     2.95834  0.00114292
         121     2.93905     2.95818  0.00114453
         122      2.9366       2.958  0.00114873
         123     2.93413      2.9578  0.00115566
         124     2.93164     2.95759  0.00116545
         125     2.92915     2.95737  0.00117812
         126     2.92669     2.95712  0.00119367
         127     2.92426     2.95686  0.00121198
         128     2.92191     2.95659   0.0012329
         129     2.91963      2.9563  0.00125619
         130     2.91747     2.95601  0.00128157
         131     2.91543      2.9557  0.00130867
         132     2.91355     2.95538  0.00133714
         133     2.91184     2.95505  0.00136656
         134     2.91033     2.95472  0.00139651
         135     2.90903     2.95438  0.00142659
         136     2.90795     2.95404  0.00145637
         137     2.90711     2.95369  0.00148548
         138     2.90651     2.95335  0.00151355
         139     2.90616     2.95301  0.00154028
         140     2.90605     2.95268  0.00156537
         141     2.90619     2.95235   0.0015886
         142     2.90657     2.95202  0.00160979
         143     2.90717     2.95171  0.00162881
         144     2.90798     2.95141  0.00164556
         145     2.90899     2.95111     0.00166
         146     2.91018     2.95083  0.00167215
         147     2.91152     2.95057  0.00168203
         148     2.91299     2.95031  0.00168972
         149     2.91457     2.95007  0.00169532
         150     2.91625     2.94985  0.00169894
         151     2.91799     2.94964  0.00170074
         152     2.91978     2.94944  0.00170086
         153      2.9216     2.94926  0.00169945
         154     2.92342     2.94909  0.00169668
         155     2.92524     2.94894   0.0016927
         156     2.92703      2.9488  0.00168766
         157     2.92879     2.94867  0.00168171
         158     2.93051     2.94855  0.00167499
         159     2.93216     2.94845  0.00166763
         160     2.93376     2.94836  0.00165973
         161     2.93529     2.94828   0.0016514
         162     2.93674     2.94821  0.00164275
         163     2.93812     2.94814  0.00163383
         164     2.93942     2.94809  0.00162473
         165     2.94065     2.94805  0.00161551
         166      2.9418     2.94801  0.00160622
         167     2.94287     2.94798   0.0015969
         168     2.94387     2.94795  0.00158758
         169      2.9448     2.94793  0.00157829
         170     2.94566     2.94792  0.00156907
         171     2.94646     2.94791  0.00155991
         172      2.9472     2.94791  0.00155085
         173     2.94788     2.94791  0.00154188
         174     2.94851     2.94791  0.00153303
         175     2.94909     2.94792  0.00152428
         176     2.94962     2.94793  0.00151565
         177     2.95011     2.94794  0.00150714
         178     2.95056     2.94796  0.00149874
         179     2.95098     2.94797  0.00149047
         180     2.95136     2.94799   0.0014823
         181     2.95172     2.94801  0.00147426
         182     2.95205     2.94803  0.00146632
         183     2.95235     2.94806   0.0014585
         184     2.95264     2.94808  0.00145079
         185     2.95291     2.94811  0.00144318
         186     2.95315     2.94814  0.00143568
         187     2.95339     2.94816  0.00142827
         188     2.95361     2.94819  0.00142097
         189     2.95381     2.94822  0.00141376
         190       2.954     2.94825  0.00140665
         191     2.95419     2.94828  0.00139963
         192     2.95436     2.94832  0.00139269
         193     2.95452     2.94835  0.00138585
         194     2.95467     2.94838  0.00137909
         195     2.95481     2.94841  0.00137241
         196     2.95494     2.94845  0.00136581
         197     2.95506     2.94848  0.00135929
         198     2.95516     2.94851  0.00135284
