# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
   0.0942809  0.00925926  0.00925926           0
    0.282843           0           0           0
    0.471405  0.00925926  0.00925926           0
    0.659966  0.00925926  0.00925926           0
    0.848528  0.00925926  0.00925926           0
     1.03709   0.0277778   0.0277778           0
     1.22565  0.00925926  0.00925926           0
     1.41421    0.037037    0.037037           0
     1.60278   0.0648148   0.0648148           0
     1.79134    0.138889    0.138889           0
      1.9799   0.0462963   0.0462963           0
     2.16846    0.101852    0.101852           0
     2.35702   0.0740741   0.0740741           0
     2.54558    0.222222    0.222222           0
     2.73415   0.0462963   0.0462963           0
     2.92271  0.00925926  0.00925926           0
     3.11127   0.0462963   0.0462963           0
     3.29983   0.0462963   0.0462963           0
     3.48839   0.0648148   0.0648148           0
     3.67696  0.00925926  0.00925926           0
     3.86552           0           0           0
     4.05408  0.00925926  0.00925926           0
     4.24264  0.00925926  0.00925926           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809  0.00925926  0.00925926           0
    0.282843           0           0           0
    0.471405  0.00925926  0.00925926           0
    0.659966  0.00925926  0.00925926           0
    0.848528  0.00925926  0.00925926           0
     1.03709   0.0277778   0.0277778           0
     1.22565  0.00925926  0.00925926           0
     1.41421    0.037037    0.037037           0
     1.60278   0.0648148   0.0648148 6.58545e-10
     1.79134    0.138889    0.138889 1.31709e-09
      1.9799   0.0462963   0.0462963 4.65661e-10
     2.16846    0.101852    0.101852 9.31323e-10
     2.35702   0.0740741   0.0740741           0
     2.54558    0.222222    0.222222           0
     2.73415   0.0462963   0.0462963 4.65661e-10
     2.92271  0.00925926  0.00925926           0
     3.11127   0.0462963   0.0462963 4.65661e-10
     3.29983   0.0462963   0.0462963 4.65661e-10
     3.48839   0.0648148   0.0648148 6.58545e-10
     3.67696  0.00925926  0.00925926           0
     3.86552           0           0           0
     4.05408  0.00925926  0.00925926           0
     4.24264  0.00925926  0.00925926           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809  0.00925926  0.00925926 6.72124e-11
    0.282843           0           0           0
    0.471405  0.00925926  0.00925926 6.72124e-11
    0.659966  0.00925926  0.00925926 6.72124e-11
    0.848528  0.00925926  0.00925926 6.72124e-11
     1.03709   0.0277778   0.0277778           0
     1.22565  0.00925926  0.00925926 6.72124e-11
     1.41421    0.037037    0.037037  2.6885e-10
     1.60278   0.0648148   0.0648148 5.37699e-10
     1.79134    0.138889    0.138889  1.0754e-09
      1.9799   0.0555556   0.0493827  0.00252005
     2.16846   0.0925926   0.0987654  0.00252005
     2.35702   0.0740741   0.0740741 5.37699e-10
     2.54558    0.222222    0.222222           0
     2.73415   0.0462963   0.0462963 3.80211e-10
     2.92271  0.00925926  0.00925926 6.72124e-11
     3.11127   0.0462963   0.0462963 3.80211e-10
     3.29983   0.0462963   0.0462963 3.80211e-10
     3.48839   0.0648148   0.0648148 5.37699e-10
     3.67696  0.00925926  0.00925926 6.72124e-11
     3.86552           0           0           0
     4.05408  0.00925926  0.00925926 6.72124e-11
     4.24264  0.00925926  0.00925926 6.72124e-11
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
