#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.333224   -0.333224           0
           2   -0.334669   -0.333946 0.000511065
           3   -0.336029   -0.334641 0.000661243
           4   -0.337302   -0.335306 0.000760276
           5   -0.338492   -0.335943 0.000833569
           6   -0.339605   -0.336553 0.000890431
           7   -0.340636   -0.337137 0.000934881
           8   -0.341588   -0.337693 0.000969592
           9   -0.342481   -0.338225 0.000997194
          10   -0.343306   -0.338733  0.00101874
          11   -0.344075   -0.339219  0.00103542
          12   -0.344784   -0.339683  0.00104788
          13   -0.345439   -0.340125   0.0010567
          14   -0.346044   -0.340548  0.00106242
          15   -0.346614   -0.340953  0.00106578
          16   -0.347144    -0.34134   0.0010671
          17   -0.347636    -0.34171  0.00106668
          18   -0.348101   -0.342065  0.00106488
          19   -0.348538   -0.342406  0.00106194
          20   -0.348951   -0.342733  0.00105808
          21   -0.349349   -0.343048  0.00105355
          22   -0.349731   -0.343352  0.00104854
          23   -0.350099   -0.343645  0.00104319
          24    -0.35047    -0.34393  0.00103776
          25   -0.350829   -0.344206   0.0010323
          26   -0.351185   -0.344474   0.0010269
          27   -0.351543   -0.344736  0.00102169
          28   -0.351904   -0.344992  0.00101677
          29   -0.352266   -0.345243  0.00101218
          30   -0.352637   -0.345489  0.00100801
          31   -0.353018   -0.345732  0.00100432
          32   -0.353401   -0.345972  0.00100112
          33   -0.353793   -0.346209 0.000998446
          34   -0.354197   -0.346444 0.000996338
          35   -0.354612   -0.346677 0.000994829
          36   -0.355032   -0.346909 0.000993896
          37   -0.355466    -0.34714 0.000993575
          38   -0.355907   -0.347371 0.000993849
          39   -0.356356   -0.347601 0.000994712
          40   -0.356817   -0.347832 0.000996169
          41   -0.357279   -0.348062 0.000998165
          42   -0.357753   -0.348293  0.00100071
          43   -0.358228   -0.348524  0.00100376
          44   -0.358717   -0.348756  0.00100733
          45   -0.359207   -0.348988  0.00101136
          46   -0.359713   -0.349221   0.0010159
          47    -0.36022   -0.349455  0.00102088
          48   -0.360735    -0.34969  0.00102631
          49   -0.361252   -0.349926  0.00103213
          50   -0.361776   -0.350163  0.00103834
          51   -0.362305   -0.350401  0.00104492
          52   -0.362834    -0.35064  0.00105182
          53   -0.363365    -0.35088  0.00105903
          54   -0.363895   -0.351121  0.00106649
          55   -0.364432   -0.351363   0.0010742
          56   -0.364973   -0.351606  0.00108216
          57   -0.365519    -0.35185  0.00109036
          58   -0.366064   -0.352096  0.00109875
          59   -0.366605   -0.352341  0.00110731
          60   -0.367154   -0.352588  0.00111604
          61   -0.367702   -0.352836  0.00112491
          62   -0.368253   -0.353085  0.00113391
          63   -0.368793   -0.353334    0.001143
          64   -0.369332   -0.353584  0.00115215
          65   -0.369869   -0.353835  0.00116134
          66   -0.370401   -0.354086  0.00117055
          67   -0.370919   -0.354337  0.00117974
          68   -0.371435   -0.354588  0.00118888
          69   -0.371939    -0.35484  0.00119795
          70   -0.372428   -0.355091   0.0012069
          71   -0.372917   -0.355342  0.00121573
          72   -0.373392   -0.355593  0.00122442
          73   -0.373855   -0.355843  0.00123294
          74   -0.374295   -0.356092  0.00124124
          75   -0.374716   -0.356341  0.00124928
          76   -0.375114   -0.356588  0.00125703
          77   -0.375491   -0.356833  0.00126445
          78   -0.375845   -0.357077  0.00127151
          79    -0.37618   -0.357319   0.0012782
          80   -0.376481   -0.357558  0.00128448
          81   -0.376754   -0.357795  0.00129029
          82   -0.376995   -0.358029  0.00129563
          83   -0.377209    -0.35826  0.00130046
          84   -0.377385   -0.358488  0.00130476
          85   -0.377523   -0.358712  0.00130848
          86   -0.377622   -0.358932  0.00131161
          87    -0.37768   -0.359147  0.00131412
          88   -0.377698   -0.359358  0.00131599
          89   -0.377671   -0.359564  0.00131719
          90   -0.377594   -0.359764   0.0013177
          91   -0.377476   -0.359959  0.00131751
          92   -0.377305   -0.360147  0.00131662
          93   -0.377083    -0.36033  0.00131499
          94   -0.376793   -0.360505  0.00131261
          95   -0.376449   -0.360673  0.00130948
          96   -0.376047   -0.360833   0.0013056
          97   -0.375579   -0.360985  0.00130096
          98   -0.375044   -0.361128  0.00129557
          99   -0.374442   -0.361263  0.00128945
         100   -0.373764   -0.361388   0.0012826
         101   -0.373016   -0.361503  0.00127506
         102    -0.37218   -0.361607  0.00126684
         103   -0.371264   -0.361701  0.00125801
         104    -0.37027   -0.361784  0.00124861
         105   -0.369177   -0.361854   0.0012387
         106   -0.367999   -0.361912  0.00122837
         107   -0.366734   -0.361957  0.00121772
         108   -0.365368   -0.361989  0.00120685
         109   -0.363911   -0.362006  0.00119591
         110   -0.362355   -0.362009  0.00118504
         111   -0.360702   -0.361998  0.00117442
         112   -0.358954   -0.361971  0.00116425
         113   -0.357109   -0.361927  0.00115474
         114    -0.35517   -0.361868  0.00114613
         115   -0.353141   -0.361792  0.00113868
         116   -0.351022   -0.361699  0.00113264
         117   -0.348822   -0.361589  0.00112829
         118   -0.346545   -0.361462  0.00112591
         119   -0.344201   -0.361317  0.00112576
