#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0940213   0.0940213           0
           2   0.0935986   0.0938099 0.000149456
           3   0.0931935   0.0936044 0.000195131
           4   0.0928059   0.0934048 0.000226512
           5   0.0924354   0.0932109 0.000250815
           6   0.0920812   0.0930226 0.000270606
           7   0.0917435   0.0928399 0.000287089
           8   0.0914217   0.0926626 0.000301003
           9   0.0911135   0.0924905 0.000312923
          10   0.0908196   0.0923234 0.000323175
          11   0.0905384   0.0921612 0.000332045
          12   0.0902699   0.0920035 0.000339725
          13   0.0900132   0.0918504 0.000346379
          14   0.0897674   0.0917017 0.000352146
          15   0.0895307   0.0915569 0.000357175
          16   0.0893032   0.0914161 0.000361561
          17   0.0890842   0.0912789 0.000365387
          18   0.0888723   0.0911452 0.000368738
          19   0.0886673   0.0910148 0.000371679
          20   0.0884683   0.0908875 0.000374268
          21   0.0882741    0.090763 0.000376567
          22   0.0880846   0.0906413  0.00037862
          23    0.087899    0.090522 0.000380469
          24   0.0877155   0.0904051 0.000382165
          25   0.0875352   0.0902903 0.000383732
          26   0.0873573   0.0901775 0.000385198
          27   0.0871806   0.0900665 0.000386593
          28   0.0870052   0.0899572 0.000387938
          29   0.0868308   0.0898494 0.000389252
          30   0.0866568   0.0897429 0.000390553
          31   0.0864829   0.0896378 0.000391857
          32   0.0863096   0.0895338 0.000393172
          33   0.0861364   0.0894308 0.000394506
          34   0.0859628   0.0893288  0.00039587
          35    0.085789   0.0892277 0.000397269
          36   0.0856154   0.0891273 0.000398704
          37   0.0854413   0.0890277 0.000400181
          38   0.0852673   0.0889288 0.000401699
          39   0.0850933   0.0888304 0.000403257
          40   0.0849192   0.0887326 0.000404857
          41   0.0847458   0.0886354 0.000406493
          42   0.0845722   0.0885387 0.000408164
          43   0.0843996   0.0884424 0.000409865
          44   0.0842267   0.0883466 0.000411596
          45   0.0840548   0.0882512 0.000413351
          46   0.0838826   0.0881562 0.000415132
          47   0.0837116   0.0880617 0.000416931
          48   0.0835412   0.0879675 0.000418747
          49   0.0833719   0.0878737 0.000420573
          50   0.0832034   0.0877803 0.000422406
          51    0.083036   0.0876873 0.000424244
          52   0.0828701   0.0875946 0.000426079
          53   0.0827058   0.0875024 0.000427909
          54   0.0825433   0.0874106 0.000429726
          55    0.082382   0.0873191 0.000431529
          56   0.0822221   0.0872281 0.000433316
          57   0.0820637   0.0871375 0.000435083
          58   0.0819076   0.0870473 0.000436826
          59   0.0817541   0.0869576 0.000438538
          60   0.0816022   0.0868684 0.000440219
          61   0.0814527   0.0867796 0.000441864
          62   0.0813055   0.0866913 0.000443471
          63   0.0811621   0.0866035 0.000445032
          64   0.0810216   0.0865163 0.000446543
          65   0.0808843   0.0864297    0.000448
          66   0.0807507   0.0863436   0.0004494
          67   0.0806217   0.0862582 0.000450734
          68   0.0804965   0.0861735 0.000451999
          69    0.080376   0.0860895 0.000453191
          70    0.080261   0.0860062 0.000454301
          71   0.0801499   0.0859237 0.000455329
          72   0.0800445   0.0858421 0.000456268
          73   0.0799447   0.0857613 0.000457114
          74   0.0798519   0.0856814 0.000457859
          75   0.0797657   0.0856025 0.000458498
          76   0.0796868   0.0855247 0.000459025
          77   0.0796153    0.085448 0.000459434
          78   0.0795517   0.0853724 0.000459721
          79   0.0794954    0.085298 0.000459881
          80   0.0794485   0.0852249 0.000459908
          81   0.0794106   0.0851531 0.000459798
          82    0.079382   0.0850827 0.000459545
          83   0.0793627   0.0850138 0.000459147
          84   0.0793539   0.0849464 0.000458598
          85   0.0793558   0.0848806 0.000457895
          86   0.0793688   0.0848165 0.000457034
          87   0.0793932   0.0847542 0.000456012
          88   0.0794291   0.0846937 0.000454828
          89   0.0794774   0.0846351 0.000453478
