#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.95264     1.95264           0
           2     1.95367     1.95315 0.000362658
           3     1.95463     1.95365 0.000469396
           4     1.95554     1.95412 0.000540128
           5     1.95639     1.95457  0.00059274
           6     1.95718     1.95501 0.000633607
           7     1.95792     1.95542 0.000665927
           8     1.95861     1.95582 0.000691624
           9     1.95925      1.9562 0.000711993
          10     1.95984     1.95657 0.000727977
          11     1.96039     1.95692 0.000740298
          12      1.9609     1.95725 0.000749536
          13     1.96138     1.95757 0.000756164
          14     1.96181     1.95787 0.000760584
          15     1.96222     1.95816 0.000763138
          16     1.96259     1.95844 0.000764121
          17     1.96294      1.9587 0.000763793
          18     1.96327     1.95895 0.000762383
          19     1.96358      1.9592 0.000760091
          20     1.96387     1.95943 0.000757095
          21     1.96414     1.95966 0.000753555
          22     1.96441     1.95987 0.000749609
          23     1.96466     1.96008 0.000745381
          24     1.96491     1.96028 0.000740981
          25     1.96515     1.96048 0.000736506
          26     1.96539     1.96067 0.000732038
          27     1.96563     1.96085 0.000727652
          28     1.96587     1.96103 0.000723411
          29     1.96611      1.9612 0.000719369
          30     1.96635     1.96138 0.000715574
          31      1.9666     1.96154 0.000712065
          32     1.96685     1.96171 0.000708873
          33     1.96711     1.96187 0.000706025
          34     1.96737     1.96203 0.000703543
          35     1.96764      1.9622  0.00070144
          36     1.96792     1.96235  0.00069973
          37      1.9682     1.96251 0.000698418
          38     1.96849     1.96267 0.000697508
          39     1.96878     1.96283 0.000696999
          40     1.96908     1.96298 0.000696889
          41     1.96939     1.96314 0.000697171
          42      1.9697     1.96329 0.000697838
          43     1.97001     1.96345  0.00069888
          44     1.97033     1.96361 0.000700286
          45     1.97066     1.96376 0.000702042
          46     1.97099     1.96392 0.000704136
          47     1.97132     1.96408 0.000706552
          48     1.97166     1.96424 0.000709277
          49       1.972      1.9644 0.000712294
          50     1.97235     1.96455 0.000715589
          51      1.9727     1.96471 0.000719146
          52     1.97305     1.96487 0.000722951
          53      1.9734     1.96503 0.000726988
          54     1.97376      1.9652 0.000731243
          55     1.97411     1.96536   0.0007357
          56     1.97447     1.96552 0.000740347
          57     1.97483     1.96568 0.000745168
          58      1.9752     1.96585 0.000750148
          59     1.97556     1.96601 0.000755275
          60     1.97592     1.96618 0.000760533
          61     1.97629     1.96634 0.000765908
          62     1.97665     1.96651 0.000771385
          63     1.97701     1.96668  0.00077695
          64     1.97738     1.96684 0.000782585
          65     1.97773     1.96701 0.000788276
          66     1.97809     1.96718 0.000794005
          67     1.97844     1.96735 0.000799756
          68     1.97879     1.96752  0.00080551
          69     1.97914     1.96768  0.00081125
          70     1.97947     1.96785 0.000816957
          71      1.9798     1.96802  0.00082261
          72     1.98013     1.96819 0.000828191
          73     1.98044     1.96836 0.000833678
          74     1.98075     1.96852 0.000839051
          75     1.98104     1.96869 0.000844289
          76     1.98132     1.96886  0.00084937
          77     1.98159     1.96902 0.000854273
          78     1.98184     1.96919 0.000858976
          79     1.98208     1.96935 0.000863457
          80      1.9823     1.96951 0.000867695
          81      1.9825     1.96967 0.000871669
          82     1.98268     1.96983 0.000875357
          83     1.98284     1.96999 0.000878738
          84     1.98298     1.97014 0.000881793
          85      1.9831      1.9703 0.000884502
          86      1.9832     1.97045 0.000886845
          87     1.98326     1.97059 0.000888805
          88      1.9833     1.97074 0.000890364
          89     1.98331     1.97088 0.000891505
          90      1.9833     1.97102 0.000892214
          91     1.98325     1.97115 0.000892476
          92     1.98316     1.97128 0.000892278
