#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.59574     2.59574           0
           2     2.59583     2.59578 3.29216e-05
           3     2.59592     2.59583 4.28516e-05
           4     2.59601     2.59587 4.99182e-05
           5     2.59609     2.59592 5.55485e-05
           6     2.59617     2.59596   5.999e-05
           7     2.59625       2.596 6.40327e-05
           8     2.59633     2.59604 6.78964e-05
           9     2.59639     2.59608 7.08552e-05
          10     2.59646     2.59612 7.32884e-05
          11     2.59652     2.59615 7.50857e-05
          12     2.59657     2.59619 7.64816e-05
          13     2.59662     2.59622 7.76009e-05
          14     2.59668     2.59625 7.85142e-05
          15     2.59671     2.59629 7.89755e-05
          16     2.59675     2.59631 7.91248e-05
          17     2.59678     2.59634  7.9051e-05
          18      2.5968     2.59637 7.87313e-05
          19     2.59683     2.59639 7.82343e-05
          20     2.59685     2.59641 7.76084e-05
          21     2.59687     2.59644 7.68287e-05
          22     2.59688     2.59646 7.59399e-05
          23     2.59689     2.59647  7.4976e-05
          24     2.59689     2.59649   7.385e-05
          25      2.5969     2.59651 7.26551e-05
          26      2.5969     2.59652 7.14203e-05
          27      2.5969     2.59654 7.01342e-05
          28      2.5969     2.59655 6.88081e-05
          29      2.5969     2.59656 6.74669e-05
          30     2.59689     2.59657 6.61045e-05
          31     2.59688     2.59658 6.47191e-05
          32     2.59688     2.59659 6.33435e-05
          33     2.59687      2.5966 6.19827e-05
          34     2.59686     2.59661 6.06326e-05
          35     2.59685     2.59662 5.92916e-05
          36     2.59684     2.59662 5.79806e-05
          37     2.59683     2.59663 5.66895e-05
          38     2.59682     2.59663 5.54288e-05
          39     2.59681     2.59664 5.42007e-05
          40      2.5968     2.59664 5.30025e-05
          41      2.5968     2.59665 5.18486e-05
          42     2.59679     2.59665 5.07301e-05
          43     2.59679     2.59665 4.96577e-05
          44     2.59678     2.59666 4.86194e-05
          45     2.59678     2.59666 4.76209e-05
          46     2.59677     2.59666 4.66495e-05
          47     2.59677     2.59666 4.57107e-05
          48     2.59676     2.59666 4.48016e-05
          49     2.59675     2.59667 4.39237e-05
          50     2.59675     2.59667 4.30742e-05
          51     2.59674     2.59667 4.22525e-05
          52     2.59674     2.59667 4.14593e-05
          53     2.59673     2.59667 4.06946e-05
          54     2.59674     2.59667 3.99597e-05
          55     2.59674     2.59667 3.92506e-05
          56     2.59674     2.59668 3.85651e-05
          57     2.59673     2.59668  3.7901e-05
          58     2.59673     2.59668 3.72589e-05
