#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00006     3.00006           0
           2     3.00018     3.00012 4.36265e-05
           3     3.00031     3.00018 5.85068e-05
           4     3.00043     3.00024 6.96756e-05
           5     3.00056     3.00031 7.90271e-05
           6     3.00068     3.00037 8.71719e-05
           7     3.00081     3.00043 9.43745e-05
           8     3.00093     3.00049 0.000100763
           9     3.00104     3.00055 0.000106398
          10     3.00115     3.00061 0.000111306
          11     3.00126     3.00067 0.000115492
          12     3.00135     3.00073 0.000118949
          13     3.00144     3.00078 0.000121662
          14     3.00151     3.00084 0.000123615
          15     3.00157     3.00088 0.000124791
          16     3.00162     3.00093 0.000125176
          17     3.00165     3.00097 0.000124762
          18     3.00166     3.00101 0.000123554
          19     3.00165     3.00105  0.00012157
          20     3.00162     3.00107 0.000118852
          21     3.00157      3.0011 0.000115472
          22     3.00148     3.00111 0.000111549
          23     3.00137     3.00113 0.000107265
          24     3.00123     3.00113  0.00010289
          25     3.00106     3.00113 9.88103e-05
          26     3.00086     3.00112 9.55518e-05
          27     3.00062      3.0011 9.37793e-05
          28     3.00034     3.00107 9.42351e-05
          29     3.00003     3.00104 9.76026e-05
          30     2.99968     3.00099  0.00010434
          31     2.99928     3.00094 0.000114592
          32     2.99885     3.00087 0.000128228
          33     2.99837     3.00079 0.000144969
          34     2.99785     3.00071 0.000164497
          35     2.99729     3.00061 0.000186514
          36     2.99669      3.0005  0.00021077
          37     2.99604     3.00038 0.000237053
          38     2.99535     3.00025  0.00026519
          39     2.99462      3.0001 0.000295027
          40     2.99385     2.99995 0.000326428
          41     2.99305     2.99978 0.000359268
          42      2.9922      2.9996 0.000393423
          43     2.99132     2.99941 0.000428771
          44     2.99041      2.9992  0.00046519
          45     2.98948     2.99899 0.000502553
          46     2.98852     2.99876 0.000540729
          47     2.98753     2.99852 0.000579584
          48     2.98653     2.99827 0.000618977
          49     2.98552     2.99801 0.000658765
          50      2.9845     2.99774 0.000698798
          51     2.98348     2.99746 0.000738926
          52     2.98246     2.99717 0.000778993
          53     2.98145     2.99688 0.000818844
          54     2.98045     2.99657 0.000858324
