# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702    0.962963    0.962963           0
     2.54558    0.037037    0.037037           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702    0.888889    0.925926   0.0261891
     2.54558    0.111111   0.0740741   0.0261891
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702    0.805556    0.885802   0.0371227
     2.54558    0.194444    0.114198   0.0371227
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702    0.759259    0.854167   0.0390614
     2.54558    0.240741    0.145833   0.0390614
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702    0.759259    0.835185   0.0355633
     2.54558    0.240741    0.164815   0.0355633
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702    0.722222    0.816358    0.034259
     2.54558    0.277778    0.183642    0.034259
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
