#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.402941   -0.402941           0
           2   -0.403066   -0.403004 4.41463e-05
           3    -0.40319   -0.403066 5.84952e-05
           4   -0.403315   -0.403128 6.95995e-05
           5    -0.40344   -0.403191 7.88482e-05
           6   -0.403566   -0.403253 8.70398e-05
           7   -0.403686   -0.403315 9.40465e-05
           8   -0.403805   -0.403376 0.000100251
           9    -0.40392   -0.403437  0.00010578
          10   -0.404022   -0.403495 0.000110216
          11   -0.404115   -0.403552 0.000113713
          12   -0.404204   -0.403606 0.000116512
          13   -0.404276   -0.403657 0.000118413
          14   -0.404335   -0.403706 0.000119447
          15   -0.404382   -0.403751 0.000119688
          16   -0.404412   -0.403792 0.000119125
          17   -0.404428    -0.40383 0.000117844
          18   -0.404421   -0.403863 0.000115793
          19   -0.404393    -0.40389 0.000113008
          20   -0.404332   -0.403913 0.000109495
          21   -0.404251   -0.403929 0.000105458
          22   -0.404141   -0.403938 0.000101105
          23   -0.404004   -0.403941 9.67493e-05
          24   -0.403831   -0.403937 9.28278e-05
          25   -0.403626   -0.403924  8.9941e-05
          26   -0.403385   -0.403903 8.88438e-05
          27   -0.403109   -0.403874 9.02955e-05
          28   -0.402795   -0.403835 9.49344e-05
          29    -0.40244   -0.403787 0.000103136
          30   -0.402049   -0.403729 0.000114821
          31   -0.401617   -0.403661 0.000129762
          32   -0.401144   -0.403583 0.000147644
          33   -0.400623   -0.403493 0.000168225
          34   -0.400061   -0.403392 0.000191175
          35   -0.399457    -0.40328 0.000216262
          36    -0.39881   -0.403155 0.000243295
          37   -0.398119   -0.403019 0.000272147
          38   -0.397384   -0.402871   0.0003027
          39   -0.396615   -0.402711 0.000334756
          40   -0.395805   -0.402538 0.000368227
          41   -0.394958   -0.402353  0.00040299
          42   -0.394078   -0.402156 0.000438927
          43   -0.393166   -0.401947 0.000475913
          44   -0.392233   -0.401726 0.000513755
          45   -0.391271   -0.401494 0.000552379
          46    -0.39029    -0.40125 0.000591632
          47   -0.389293   -0.400996 0.000631379
          48   -0.388281   -0.400731   0.0006715
          49   -0.387261   -0.400456 0.000711845
          50   -0.386236   -0.400172 0.000752279
          51   -0.385218   -0.399878 0.000792609
          52   -0.384206   -0.399577 0.000832699
          53   -0.383205   -0.399268 0.000872408
          54   -0.382224   -0.398953 0.000911563
          55   -0.381267   -0.398631 0.000950011
          56   -0.380341   -0.398304 0.000987592
          57    -0.37945   -0.397974  0.00102416
          58   -0.378594   -0.397639  0.00105961
          59   -0.377779   -0.397303  0.00109381
          60   -0.377013   -0.396965  0.00112665
          61   -0.376292   -0.396626  0.00115803
          62   -0.375634   -0.396287  0.00118782
          63   -0.375021    -0.39595  0.00121598
          64   -0.374473   -0.395614  0.00124242
          65   -0.373982   -0.395281   0.0012671
          66   -0.373543   -0.394952     0.00129
          67   -0.373167   -0.394627  0.00131108
          68   -0.372849   -0.394306  0.00133034
          69   -0.372587   -0.393992  0.00134779
          70   -0.372374   -0.393683  0.00136345
          71    -0.37222   -0.393381  0.00137735
          72    -0.37211   -0.393085  0.00138954
          73   -0.372046   -0.392797  0.00140008
