#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0874273   0.0874273           0
           2   0.0873103   0.0873688 4.13371e-05
           3    0.087195   0.0873109 5.47506e-05
           4   0.0870809   0.0872534  6.4539e-05
           5   0.0869685   0.0871964 7.25399e-05
           6   0.0868579     0.08714 7.94135e-05
           7   0.0867497   0.0870842 8.54239e-05
           8   0.0866439   0.0870292 9.07654e-05
           9   0.0865405   0.0869749  9.5549e-05
          10   0.0864411   0.0869215  9.9799e-05
          11    0.086345   0.0868691 0.000103577
          12   0.0862523   0.0868177 0.000106941
          13   0.0861642   0.0867674 0.000109896
          14   0.0860806   0.0867184 0.000112465
          15   0.0860017   0.0866706 0.000114668
          16    0.085928   0.0866242 0.000116515
          17   0.0858596   0.0865792 0.000118023
          18   0.0857974   0.0865358 0.000119192
          19   0.0857416    0.086494 0.000120024
          20   0.0856933   0.0864539 0.000120514
          21   0.0856518   0.0864158 0.000120677
          22   0.0856179   0.0863795 0.000120518
          23   0.0855916   0.0863452 0.000120048
          24    0.085574   0.0863131 0.000119269
          25   0.0855648   0.0862832 0.000118194
          26   0.0855648   0.0862555 0.000116833
          27   0.0855737   0.0862303 0.000115203
          28    0.085592   0.0862075 0.000113321
          29   0.0856202   0.0861872 0.000111208
          30   0.0856578   0.0861696 0.000108892
          31   0.0857054   0.0861546 0.000106404
          32    0.085763   0.0861424 0.000103781
          33   0.0858313   0.0861329 0.000101063
          34   0.0859094   0.0861264 9.83041e-05
          35   0.0859977   0.0861227 9.55642e-05
          36   0.0860959    0.086122 9.29126e-05
          37   0.0862041   0.0861242 9.04279e-05
          38   0.0863221   0.0861294 8.81981e-05
          39   0.0864488   0.0861376 8.63162e-05
          40   0.0865847   0.0861487 8.48789e-05
          41   0.0867289   0.0861629 8.39799e-05
          42    0.086881     0.08618 8.37025e-05
          43   0.0870402      0.0862 8.41128e-05
          44   0.0872054   0.0862229 8.52482e-05
          45   0.0873768   0.0862485 8.71252e-05
          46   0.0875529   0.0862769 8.97274e-05
          47   0.0877332   0.0863078 9.30146e-05
          48   0.0879168   0.0863414 9.69284e-05
          49   0.0881025   0.0863773 0.000101395
          50   0.0882896   0.0864155 0.000106336
          51   0.0884763    0.086456 0.000111665
          52   0.0886621   0.0864984 0.000117301
          53    0.088846   0.0865427 0.000123167
          54   0.0890264   0.0865887  0.00012919
          55   0.0892025   0.0866362   0.0001353
          56    0.089373   0.0866851 0.000141435
          57    0.089537   0.0867351 0.000147538
          58   0.0896939   0.0867861 0.000153561
          59   0.0898428   0.0868379 0.000159459
          60   0.0899825   0.0868903 0.000165189
          61   0.0901129   0.0869432  0.00017072
          62   0.0902321   0.0869962 0.000176016
          63   0.0903415   0.0870493 0.000181054
          64    0.090439   0.0871023 0.000185811
