#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00004     2.00004           0
           2     2.00012     2.00008 2.90843e-05
           3      2.0002     2.00012 3.90045e-05
           4     2.00029     2.00016 4.64504e-05
           5     2.00037      2.0002 5.26848e-05
           6     2.00045     2.00025 5.81146e-05
           7     2.00054     2.00029 6.29163e-05
           8     2.00062     2.00033 6.71753e-05
           9     2.00069     2.00037 7.09321e-05
          10     2.00077     2.00041 7.42041e-05
          11     2.00084     2.00045 7.69947e-05
          12      2.0009     2.00049 7.92992e-05
          13     2.00096     2.00052 8.11081e-05
          14     2.00101     2.00056 8.24102e-05
          15     2.00105     2.00059 8.31941e-05
          16     2.00108     2.00062 8.34505e-05
          17      2.0011     2.00065 8.31749e-05
          18     2.00111     2.00067 8.23695e-05
          19      2.0011      2.0007 8.10469e-05
          20     2.00108     2.00072 7.92346e-05
          21     2.00104     2.00073 7.69814e-05
          22     2.00099     2.00074 7.43662e-05
          23     2.00092     2.00075 7.15103e-05
          24     2.00082     2.00075 6.85936e-05
          25     2.00071     2.00075 6.58735e-05
          26     2.00057     2.00075 6.37012e-05
          27     2.00041     2.00073 6.25195e-05
          28     2.00023     2.00071 6.28234e-05
          29     2.00002     2.00069 6.50684e-05
          30     1.99978     2.00066 6.95603e-05
          31     1.99952     2.00062 7.63946e-05
          32     1.99923     2.00058 8.54855e-05
          33     1.99892     2.00053 9.66463e-05
          34     1.99857     2.00047 0.000109664
          35      1.9982     2.00041 0.000124343
          36     1.99779     2.00033 0.000140513
          37     1.99736     2.00025 0.000158036
          38      1.9969     2.00017 0.000176793
          39     1.99642     2.00007 0.000196684
          40      1.9959     1.99997 0.000217619
          41     1.99536     1.99985 0.000239512
          42      1.9948     1.99973 0.000262282
          43     1.99422      1.9996 0.000285847
          44     1.99361     1.99947 0.000310127
          45     1.99299     1.99932 0.000335035
          46     1.99234     1.99917 0.000360486
          47     1.99169     1.99901 0.000386389
          48     1.99102     1.99885 0.000412651
          49     1.99035     1.99867 0.000439176
          50     1.98967     1.99849 0.000465866
          51     1.98899     1.99831 0.000492617
          52     1.98831     1.99811 0.000519329
          53     1.98763     1.99792 0.000545896
          54     1.98697     1.99771 0.000572216
          55     1.98631     1.99751 0.000598185
          56     1.98567      1.9973 0.000623702
          57     1.98506     1.99708 0.000648669
          58     1.98446     1.99686 0.000672991
          59     1.98389     1.99664 0.000696579
          60     1.98335     1.99642 0.000719349
          61     1.98284      1.9962 0.000741224
          62     1.98236     1.99598 0.000762134
          63     1.98192     1.99575 0.000782018
          64     1.98151     1.99553 0.000800823
          65     1.98115     1.99531 0.000818506
          66     1.98082     1.99509 0.000835034
          67     1.98053     1.99487 0.000850382
          68     1.98028     1.99466 0.000864537
          69     1.98007     1.99445 0.000877492
          70     1.97989     1.99424 0.000889252
          71     1.97975     1.99403  0.00089983
          72     1.97965     1.99383 0.000909248
          73     1.97958     1.99364 0.000917532
          74     1.97953     1.99345 0.000924718
          75     1.97952     1.99326 0.000930846
          76     1.97953     1.99308 0.000935961
