#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.59712     2.59712           0
           2     2.59711     2.59712 5.19194e-07
           3     2.59712     2.59712 4.06449e-07
           4     2.59712     2.59712  3.1855e-07
           5     2.59712     2.59712 3.19038e-07
           6     2.59712     2.59712 2.67668e-07
           7     2.59712     2.59712 4.52816e-07
           8     2.59712     2.59712 6.25583e-07
           9     2.59712     2.59712 7.05811e-07
          10     2.59713     2.59712 1.36262e-06
          11     2.59714     2.59712   2.269e-06
          12     2.59715     2.59712 3.00895e-06
          13     2.59716     2.59713 3.98488e-06
          14     2.59718     2.59713 5.10395e-06
          15     2.59719     2.59713 6.22417e-06
          16     2.59721     2.59714 7.37851e-06
          17     2.59722     2.59714 8.42604e-06
          18     2.59724     2.59715 9.51511e-06
          19     2.59726     2.59715 1.06594e-05
          20     2.59729     2.59716 1.20498e-05
          21     2.59731     2.59717 1.35067e-05
          22     2.59734     2.59718 1.50266e-05
          23     2.59737     2.59719 1.65556e-05
          24      2.5974     2.59719 1.82002e-05
          25     2.59744      2.5972 1.98933e-05
          26     2.59747     2.59721 2.16724e-05
          27     2.59751     2.59723 2.34809e-05
          28     2.59755     2.59724 2.53161e-05
          29     2.59759     2.59725 2.72092e-05
          30     2.59763     2.59726 2.90796e-05
          31     2.59767     2.59727 3.09316e-05
          32     2.59771     2.59729 3.27665e-05
          33     2.59775      2.5973 3.46395e-05
          34     2.59779     2.59732 3.65074e-05
          35     2.59784     2.59733 3.83616e-05
          36     2.59788     2.59735 4.01927e-05
          37     2.59792     2.59736 4.20145e-05
          38     2.59797     2.59738 4.38346e-05
          39     2.59801     2.59739 4.55926e-05
          40     2.59805     2.59741 4.73003e-05
          41     2.59809     2.59743 4.89452e-05
          42     2.59812     2.59744 5.05155e-05
          43     2.59816     2.59746 5.19999e-05
          44     2.59818     2.59748  5.3339e-05
          45     2.59821     2.59749 5.45632e-05
          46     2.59823     2.59751 5.56509e-05
          47     2.59824     2.59752 5.65987e-05
          48     2.59825     2.59754  5.7416e-05
          49     2.59826     2.59755 5.80981e-05
          50     2.59827     2.59757 5.86526e-05
          51     2.59826     2.59758  5.9054e-05
          52     2.59825      2.5976 5.93138e-05
          53     2.59824     2.59761 5.94425e-05
          54     2.59823     2.59762 5.94329e-05
          55      2.5982     2.59763 5.92902e-05
          56     2.59817     2.59764 5.90147e-05
          57     2.59813     2.59765 5.86172e-05
          58      2.5981     2.59766 5.81155e-05
          59     2.59806     2.59766 5.75267e-05
          60     2.59801     2.59767 5.68593e-05
          61     2.59796     2.59767 5.61351e-05
          62     2.59791     2.59768  5.5357e-05
          63     2.59786     2.59768 5.45522e-05
          64      2.5978     2.59768 5.37311e-05
          65     2.59774     2.59768 5.29114e-05
          66     2.59768     2.59768 5.21097e-05
          67     2.59763     2.59768 5.13389e-05
          68     2.59757     2.59768 5.06111e-05
          69     2.59751     2.59768 4.99363e-05
          70     2.59746     2.59767 4.93177e-05
          71     2.59741     2.59767  4.8766e-05
          72     2.59736     2.59767 4.82781e-05
          73     2.59732     2.59766  4.7853e-05
          74     2.59727     2.59766 4.74944e-05
          75     2.59724     2.59765 4.71905e-05
          76      2.5972     2.59764 4.69425e-05
          77     2.59716     2.59764 4.67513e-05
          78     2.59713     2.59763 4.65966e-05
          79     2.59711     2.59763   4.647e-05
          80     2.59709     2.59762 4.63634e-05
          81     2.59708     2.59761 4.62609e-05
          82     2.59707     2.59761 4.61725e-05
          83     2.59706      2.5976 4.60876e-05
          84     2.59705     2.59759  4.5993e-05
          85     2.59706     2.59759 4.58811e-05
          86     2.59706     2.59758 4.57534e-05
          87     2.59706     2.59757 4.56114e-05
          88     2.59707     2.59757 4.54537e-05
          89     2.59708     2.59756 4.52763e-05
          90     2.59709     2.59756 4.50795e-05
          91      2.5971     2.59755 4.48611e-05
          92     2.59712     2.59755 4.46227e-05
          93     2.59713     2.59754  4.4371e-05
          94     2.59714     2.59754 4.41097e-05
          95     2.59714     2.59753 4.38421e-05
          96     2.59715     2.59753 4.35647e-05
          97     2.59716     2.59753  4.3283e-05
          98     2.59717     2.59752 4.29941e-05
          99     2.59718     2.59752 4.26994e-05
         100     2.59719     2.59752 4.23983e-05
         101      2.5972     2.59751 4.20942e-05
         102     2.59721     2.59751 4.17881e-05
         103     2.59722     2.59751 4.14797e-05
         104     2.59722      2.5975   4.117e-05
         105     2.59723      2.5975  4.0863e-05
         106     2.59723      2.5975 4.05592e-05
         107     2.59723      2.5975 4.02566e-05
         108     2.59724     2.59749 3.99558e-05
         109     2.59724     2.59749 3.96588e-05
