#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.17885     3.17885           0
           2      3.2294     3.20412    0.017875
           3     3.25153     3.21993   0.0175634
           4     3.30316     3.24074   0.0223221
           5     3.26965     3.24652   0.0185917
           6     3.29606     3.25477   0.0172291
           7     3.28749     3.25945   0.0153888
           8     3.31329     3.26618   0.0148643
           9     3.25834     3.26531   0.0132382
          10     3.26718      3.2655   0.0119157
          11     3.26592     3.26553   0.0108325
          12      3.2876     3.26737   0.0100847
          13     3.27573     3.26802  0.00932942
          14     3.29423     3.26989  0.00884899
          15     3.30421     3.27218  0.00854981
          16     3.29665     3.27371  0.00815113
          17     3.31627     3.27621  0.00804698
          18     3.30323     3.27771  0.00773866
          19     3.30101     3.27894   0.0074279
          20      3.2605     3.27802  0.00711345
          21     3.29746     3.27894   0.0068347
          22     3.29489     3.27967  0.00656236
          23     3.30858     3.28092  0.00639632
          24     3.31791     3.28246  0.00631275
          25     3.33261     3.28447  0.00637091
          26     3.31991     3.28583  0.00626995
          27     3.31065     3.28675   0.0061047
          28     3.31304     3.28769  0.00595844
          29     3.27748     3.28734  0.00576338
          30     3.29186     3.28749  0.00557323
          31     3.26889     3.28689  0.00542566
          32     3.29723     3.28721  0.00526572
          33     3.27369      3.2868  0.00512207
          34     3.28036     3.28661  0.00497492
          35     3.29665      3.2869  0.00484104
          36     3.28838     3.28694  0.00470674
          37     3.30434     3.28741  0.00460295
          38     3.27897     3.28719  0.00448717
          39     3.29018     3.28727  0.00437277
          40     3.30164     3.28763  0.00427819
          41     3.30271     3.28799  0.00418964
          42     3.29091     3.28806  0.00409047
          43      3.2454     3.28707  0.00411389
          44     3.24675     3.28615   0.0041212
          45     3.33501     3.28724  0.00417018
          46     3.27106     3.28689  0.00409432
          47     3.27226     3.28658  0.00401903
          48     3.30288     3.28692  0.00394963
          49     3.26258     3.28642  0.00390012
          50     3.25291     3.28575  0.00387927
          51     3.29911     3.28601  0.00381205
          52     3.26053     3.28552  0.00377012
          53     3.28408     3.28549  0.00369908
          54     3.27417     3.28529  0.00363652
          55     3.30462     3.28564  0.00358734
          56     3.30396     3.28596  0.00353818
          57     3.29736     3.28616  0.00348175
          58     3.26214     3.28575  0.00344627
          59     3.29219     3.28586  0.00338959
          60     3.29106     3.28595   0.0033342
          61     3.31058     3.28635  0.00330392
          62     3.31462     3.28681  0.00328195
          63     3.27692     3.28665   0.0032336
