# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
   0.0942809           0           0           0
    0.282843 2.31481e-05 2.31481e-05           0
    0.471405  0.00551852  0.00551852           0
    0.659966   0.0162917   0.0162917           0
    0.848528   0.0186898   0.0186898           0
     1.03709   0.0336944   0.0336944           0
     1.22565   0.0253889   0.0253889           0
     1.41421    0.075713    0.075713           0
     1.60278   0.0592685   0.0592685           0
     1.79134   0.0780463   0.0780463           0
      1.9799   0.0989583   0.0989583           0
     2.16846   0.0767593   0.0767593           0
     2.35702   0.0787222   0.0787222           0
     2.54558    0.104829    0.104829           0
     2.73415    0.063463    0.063463           0
     2.92271   0.0581435   0.0581435           0
     3.11127   0.0623194   0.0623194           0
     3.29983   0.0510463   0.0510463           0
     3.48839   0.0254444   0.0254444           0
     3.67696   0.0203426   0.0203426           0
     3.86552    0.010588    0.010588           0
     4.05408   0.0144398   0.0144398           0
     4.24264  0.00244907  0.00244907           0
      4.4312  0.00262037  0.00262037           0
     4.61976 0.000893519 0.000893519           0
     4.80833 0.000240741 0.000240741           0
     4.99689 2.77778e-05 2.77778e-05           0
     5.18545  0.00284259  0.00284259           0
     5.37401  0.00350926  0.00350926           0
     5.56257 0.000467593 0.000467593           0
   0.0942809           0           0           0
    0.282843 0.000388889 0.000206019 0.000129309
    0.471405  0.00301389   0.0042662  0.00088552
    0.659966  0.00440278   0.0103472  0.00420336
    0.848528  0.00888426    0.013787  0.00346679
     1.03709    0.030963   0.0323287 0.000965725
     1.22565    0.068787    0.047088   0.0153436
     1.41421   0.0694352   0.0725741  0.00221953
     1.60278   0.0545324   0.0569005  0.00167447
     1.79134   0.0623657    0.070206  0.00554391
      1.9799    0.114926    0.106942   0.0056454
     2.16846   0.0802778   0.0785185  0.00124398
     2.35702   0.0604907   0.0696065   0.0064458
     2.54558    0.094588   0.0997083  0.00362065
     2.73415   0.0859954   0.0747292  0.00796641
     2.92271   0.0438009   0.0509722  0.00507087
     3.11127   0.0689352   0.0656273  0.00233902
     3.29983   0.0300741   0.0405602   0.0074148
     3.48839   0.0334676    0.029456  0.00283661
     3.67696   0.0151435   0.0177431  0.00183815
     3.86552   0.0117407   0.0111644 0.000407568
     4.05408   0.0174306   0.0159352  0.00105739
     4.24264   0.0177824   0.0101157  0.00542115
      4.4312  0.00683333  0.00472685  0.00148951
     4.61976  0.00121296  0.00105324 0.000112941
     4.80833 0.000708333 0.000474537 0.000165319
     4.99689   0.0044213  0.00222454  0.00155334
     5.18545 0.000666667  0.00175463 0.000769306
     5.37401 0.000532407  0.00202083  0.00105248
     5.56257 3.24074e-05     0.00025 0.000153861
   0.0942809           0           0           0
    0.282843 0.000203704 0.000205247 8.62082e-05
    0.471405  0.00165741   0.0033966 0.000923387
    0.659966    0.017375   0.0126898  0.00339279
    0.848528   0.0118241   0.0131327  0.00237214
     1.03709   0.0543009   0.0396528  0.00601464
     1.22565   0.0454444   0.0465401   0.0102388
     1.41421   0.0432269   0.0627917  0.00812321
     1.60278   0.0538287   0.0558765  0.00139467
     1.79134   0.0967315   0.0790478   0.0081104
      1.9799    0.087838    0.100574  0.00641868
     2.16846   0.0903426   0.0824599  0.00332325
     2.35702   0.0715463   0.0702531  0.00432951
     2.54558   0.0678843   0.0891003  0.00899146
     2.73415   0.0657824   0.0717469  0.00584254
     2.92271   0.0519306   0.0512917  0.00339063
     3.11127   0.0528009   0.0613519  0.00382334
     3.29983   0.0464861   0.0425355  0.00519966
     3.48839   0.0296296   0.0295139  0.00189166
