#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.215021   -0.215021           0
           2   -0.265513   -0.240267   0.0178514
           3   -0.287745   -0.256093   0.0175673
           4   -0.339379   -0.276914   0.0223326
           5   -0.305903   -0.282712   0.0186035
           6   -0.332243   -0.290967   0.0172375
           7   -0.323699   -0.295643   0.0153961
           8   -0.349452   -0.302369   0.0148684
           9   -0.294505   -0.301496    0.013242
          10   -0.303429   -0.301689   0.0119192
          11   -0.302045   -0.301721   0.0108357
          12   -0.323777   -0.303559   0.0100874
          13   -0.312025   -0.304211  0.00933243
          14   -0.330476   -0.306087   0.0088524
          15   -0.340335    -0.30837  0.00855161
          16   -0.332848     -0.3099  0.00815283
          17   -0.352552   -0.312409  0.00805006
          18   -0.339363   -0.313906  0.00774086
          19   -0.337259   -0.315135  0.00743039
          20   -0.296708   -0.314214  0.00711577
          21   -0.333699   -0.315142  0.00683714
          22    -0.33111   -0.315868  0.00656478
          23   -0.344863   -0.317128  0.00639926
          24   -0.354299   -0.318677  0.00631726
          25    -0.36898   -0.320689  0.00637697
          26   -0.356118   -0.322052   0.0062756
          27   -0.346986   -0.322975  0.00611074
          28   -0.349293   -0.323915  0.00596434
          29   -0.313734   -0.323564    0.005769
          30   -0.328103   -0.323715  0.00557868
          31   -0.305082   -0.323114  0.00543101
          32   -0.333465   -0.323438  0.00527092
          33   -0.309851   -0.323026  0.00512725
          34   -0.316489   -0.322834  0.00498005
          35   -0.332855    -0.32312  0.00484599
          36   -0.324626   -0.323162  0.00471156
          37   -0.340539   -0.323632  0.00460756
          38   -0.315262   -0.323411  0.00449157
          39   -0.326417   -0.323488  0.00437707
          40    -0.33787   -0.323848  0.00428238
          41   -0.338898   -0.324215  0.00419364
          42   -0.327191   -0.324286  0.00409439
          43   -0.281643   -0.323294  0.00411752
          44   -0.282966   -0.322378  0.00412468
          45   -0.371374   -0.323466  0.00417426
          46   -0.307218   -0.323113  0.00409843
          47   -0.308408     -0.3228  0.00402316
          48   -0.339111    -0.32314  0.00395367
          49   -0.298716   -0.322642  0.00390427
          50   -0.289154   -0.321972  0.00388321
          51   -0.335279   -0.322233  0.00381582
          52   -0.296739   -0.321743  0.00377381
          53   -0.320335   -0.321716   0.0037027
          54    -0.31031   -0.321505  0.00364015
          55   -0.340889   -0.321857  0.00359099
          56   -0.340152   -0.322184  0.00354169
          57   -0.333477   -0.322382  0.00348509
          58   -0.298289   -0.321967  0.00344967
          59   -0.328428   -0.322076  0.00339294
          60   -0.327326   -0.322164  0.00333752
          61   -0.346904   -0.322569  0.00330736
          62   -0.350863   -0.323026  0.00328535
          63   -0.313053   -0.322867  0.00323701
          64   -0.354946   -0.323369    0.003225
          65   -0.310346   -0.323168   0.0031816
          66   -0.293464   -0.322718  0.00316507
          67   -0.332816   -0.322869  0.00312142
          68   -0.331594   -0.322997  0.00307815
          69   -0.318061   -0.322926  0.00303437
          70   -0.309577   -0.322735  0.00299701
          71   -0.311148   -0.322572  0.00295924
          72   -0.328124   -0.322649  0.00291914
          73   -0.301155   -0.322354  0.00289396
          74   -0.276765   -0.321738   0.0029197
          75   -0.345654   -0.322057  0.00289813
          76   -0.297301   -0.321731  0.00287824
          77   -0.336523   -0.321924  0.00284727
          78   -0.358385   -0.322391  0.00284888
          79   -0.276485    -0.32181  0.00287147
          80   -0.316987    -0.32175  0.00283621
          81   -0.315804   -0.321676  0.00280214
          82   -0.361982   -0.322168  0.00281075
          83   -0.360003   -0.322624  0.00281361
          84    -0.38608   -0.323379  0.00287974
          85   -0.320591   -0.323346  0.00284605
          86   -0.375538   -0.323953  0.00287693
          87   -0.365972   -0.324436  0.00288412
          88   -0.297104   -0.324126  0.00286802
          89    -0.31166   -0.323985  0.00283921
          90   -0.343461   -0.324202   0.0028159
          91   -0.331907   -0.324287  0.00278623
          92   -0.329966   -0.324348  0.00275663
          93   -0.294143   -0.324023  0.00274605
          94   -0.330855   -0.324096   0.0027178
          95   -0.286985   -0.323706  0.00271712
          96    -0.33351   -0.323808  0.00269074
          97   -0.322295   -0.323792  0.00266304
          98   -0.328695   -0.323842  0.00263634
          99   -0.337595   -0.323981  0.00261337
         100   -0.342619   -0.324167  0.00259387
         101   -0.316571   -0.324092  0.00256928
         102   -0.321629   -0.324068   0.0025442
         103    -0.32011    -0.32403  0.00251979
         104   -0.324608   -0.324035  0.00249557
         105   -0.349101   -0.324274  0.00248319
         106   -0.350655   -0.324523  0.00247221
         107   -0.336511   -0.324635  0.00245164
         108    -0.33629   -0.324743  0.00243132
         109   -0.337632   -0.324861  0.00241188
         110    -0.34242   -0.325021  0.00239523
         111   -0.348793   -0.325235  0.00238321
         112   -0.336235   -0.325333  0.00236396
         113    -0.31435   -0.325236  0.00234503
         114   -0.313963   -0.325137  0.00232655
         115   -0.327297   -0.325156  0.00230639
         116   -0.327821   -0.325179  0.00228662
         117   -0.306414   -0.325018   0.0022727
         118   -0.333871   -0.325093  0.00225467
         119   -0.269312   -0.324625  0.00228394
         120   -0.286265   -0.324305  0.00228716
         121   -0.280623   -0.323944  0.00229658
         122   -0.329586    -0.32399  0.00227822
         123   -0.335416   -0.324083  0.00226159
         124   -0.312726   -0.323991   0.0022452
         125   -0.297568    -0.32378  0.00223717
         126    -0.31224   -0.323688  0.00222129
         127    -0.35361   -0.323924  0.00221626
         128   -0.332248   -0.323989   0.0021999
         129   -0.350785   -0.324197  0.00219263
         130   -0.338198   -0.324305  0.00217841
         131   -0.332161   -0.324364   0.0021626
         132   -0.293841   -0.324133  0.00215855
         133   -0.307764    -0.32401  0.00214582
         134   -0.307905    -0.32389  0.00213317
         135   -0.327749   -0.323919  0.00211756
         136   -0.334306   -0.323995  0.00210337
         137   -0.332523   -0.324057  0.00208894
         138   -0.337448   -0.324154  0.00207605
         139   -0.324428   -0.324156  0.00206112
         140   -0.340962   -0.324276  0.00204989
         141   -0.315462   -0.324214   0.0020363
         142   -0.327108   -0.324234  0.00202206
         143   -0.324895   -0.324239  0.00200793
         144   -0.338154   -0.324335  0.00199631
         145   -0.347366   -0.324494  0.00198885
         146    -0.36596   -0.324778   0.0019954
         147   -0.325865   -0.324786  0.00198184
         148   -0.358965   -0.325017  0.00198186
         149   -0.333114   -0.325071  0.00196931
         150   -0.300709   -0.324908  0.00196286
         151    -0.34893   -0.325068   0.0019563
         152   -0.323013   -0.325054  0.00194348
         153   -0.298995   -0.324884  0.00193822
         154   -0.326722   -0.324896  0.00192567
         155   -0.339641   -0.324991   0.0019156
         156   -0.307685    -0.32488  0.00190653
         157   -0.349329   -0.325036  0.00190073
         158   -0.286443   -0.324791  0.00190433
         159   -0.314011   -0.324724  0.00189356
         160   -0.327926   -0.324744  0.00188183
         161   -0.296596   -0.324569  0.00187825
         162    -0.28504   -0.324325  0.00188244
         163   -0.279704   -0.324051  0.00189069
         164   -0.329165   -0.324082  0.00187942
         165   -0.287498    -0.32386  0.00188106
         166   -0.321934   -0.323849  0.00186976
         167   -0.344832   -0.323974  0.00186278
         168   -0.364682   -0.324217  0.00186739
         169   -0.365094   -0.324459  0.00187194
         170    -0.34788   -0.324596  0.00186599
         171   -0.279408   -0.324332   0.0018737
         172   -0.348344   -0.324472    0.001868
         173   -0.318832   -0.324439  0.00185748
         174   -0.348168   -0.324576  0.00185181
         175    -0.36314   -0.324796  0.00185429
         176   -0.331992   -0.324837  0.00184421
         177   -0.341873   -0.324933   0.0018363
         178   -0.302594   -0.324808  0.00183027
         179   -0.317997   -0.324769  0.00182044
         180   -0.299009   -0.324626  0.00181594
         181   -0.264191   -0.324292  0.00183635
         182    -0.33245   -0.324337   0.0018268
         183   -0.347683   -0.324465  0.00182127
         184   -0.291748   -0.324287  0.00182003
         185   -0.310772   -0.324214  0.00181166
         186   -0.294499   -0.324054  0.00180895
         187   -0.318018   -0.324022  0.00179956
         188   -0.325322   -0.324029     0.00179
         189   -0.328286   -0.324051  0.00178068
         190    -0.35958   -0.324238  0.00178109
         191   -0.376531   -0.324512  0.00179269
         192   -0.373039   -0.324765  0.00180108
         193   -0.339151   -0.324839  0.00179329
         194   -0.326487   -0.324848  0.00178407
         195   -0.296163   -0.324701  0.00178097
         196   -0.326503    -0.32471  0.00177191
         197   -0.318407   -0.324678   0.0017632
         198   -0.309683   -0.324602  0.00175592
         199   -0.319897   -0.324579  0.00174726
         200   -0.330105   -0.324606  0.00173874
