#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     0.10105     0.10105           0
           2     0.10264    0.101845 0.000562007
           3   0.0996566    0.101115 0.000703599
           4    0.103212    0.101639 0.000696036
           5    0.103114    0.101934 0.000616158
           6    0.106585     0.10271  0.00087427
           7    0.104999    0.103037 0.000808244
           8    0.104752    0.103251 0.000735092
           9    0.103992    0.103333 0.000658012
          10    0.103462    0.103346 0.000592337
          11     0.10553    0.103545 0.000570784
          12    0.102473    0.103455 0.000530153
          13    0.106506     0.10369 0.000538821
          14    0.106418    0.103885   0.0005344
          15    0.106515     0.10406 0.000526744
          16    0.106172    0.104192 0.000510091
          17     0.10591    0.104293 0.000489996
          18    0.101871    0.104159 0.000480903
          19    0.104814    0.104193 0.000456829
          20    0.106662    0.104317 0.000450362
          21    0.106134    0.104403 0.000437148
          22    0.106378    0.104493 0.000426395
          23    0.105426    0.104534 0.000409781
          24    0.104354    0.104526 0.000392776
          25    0.104138    0.104511 0.000377372
          26    0.102652    0.104439 0.000369565
          27    0.101491     0.10433 0.000371657
          28    0.104715    0.104344 0.000358638
          29    0.105084    0.104369 0.000347179
          30    0.103529    0.104341 0.000336734
          31    0.107211    0.104434 0.000338356
          32    0.102657    0.104378 0.000332308
          33    0.105034    0.104398 0.000322831
          34    0.101844    0.104323 0.000321959
          35    0.102084    0.104259  0.00031905
          36    0.102535    0.104211 0.000313762
          37    0.105217    0.104238 0.000306456
          38    0.106352    0.104294 0.000303396
          39    0.106397    0.104348 0.000300372
          40    0.104454     0.10435 0.000292874
          41    0.108705    0.104457 0.000304382
          42    0.104179     0.10445 0.000297206
          43      0.1049    0.104461 0.000290478
          44    0.102655    0.104419 0.000286759
          45    0.106085    0.104456 0.000282765
          46    0.101765    0.104398 0.000282606
          47    0.105279    0.104417 0.000277214
          48    0.106473     0.10446 0.000274728
          49    0.104166    0.104454 0.000269187
          50    0.103227    0.104429 0.000264918
          51    0.107806    0.104495 0.000267871
          52    0.108612    0.104574 0.000274167
          53    0.105408     0.10459 0.000269445
          54    0.105882    0.104614 0.000265515
          55    0.106964    0.104657 0.000264103
          56    0.105234    0.104667 0.000259588
          57    0.100727    0.104598 0.000264079
          58    0.104499    0.104596 0.000259531
          59    0.101705    0.104547 0.000259717
          60    0.103941    0.104537 0.000255584
          61    0.103435    0.104519 0.000252033
          62    0.107358    0.104565 0.000252094
          63    0.103731    0.104552  0.00024844
          64    0.106757    0.104586 0.000246936
          65    0.103404    0.104568 0.000243805
          66    0.102812    0.104541 0.000241558
          67    0.105843    0.104561 0.000238732
          68    0.104697    0.104563  0.00023523
          69    0.105449    0.104576 0.000232172
          70    0.105729    0.104592 0.000229439
          71    0.102747    0.104566 0.000227675
          72    0.103648    0.104553  0.00022487
          73    0.105176    0.104562 0.000221951
          74    0.105887     0.10458 0.000219673
          75    0.102549    0.104553 0.000218406
          76    0.104666    0.104554 0.000215537
          77    0.107594    0.104594 0.000216323
          78    0.104883    0.104597 0.000213582
          79    0.107058    0.104629 0.000213138
          80    0.104957    0.104633 0.000210513
          81    0.104324    0.104629 0.000207949
          82    0.102852    0.104607 0.000206539
          83    0.106525     0.10463 0.000205339
          84    0.105956    0.104646 0.000203501
          85    0.105752    0.104659 0.000201522
          86     0.10501    0.104663  0.00019922
          87    0.110397    0.104729 0.000207546
          88    0.103344    0.104713 0.000205784
          89    0.104752    0.104714 0.000203472
          90    0.104468    0.104711  0.00020123
          91    0.105311    0.104718 0.000199126
          92    0.105163    0.104722 0.000197021
          93    0.105398     0.10473 0.000195036
          94    0.101849    0.104699 0.000195354
          95    0.105065    0.104703 0.000193336
          96     0.10934    0.104751 0.000197263
          97    0.104828    0.104752 0.000195231
          98    0.109937    0.104805  0.00020028
          99     0.10527     0.10481 0.000198313
         100     0.10278    0.104789 0.000197365
         101    0.102894    0.104771 0.000196301
         102    0.104311    0.104766 0.000194428
         103    0.104362    0.104762  0.00019258
         104    0.104461    0.104759  0.00019075
         105    0.105776    0.104769 0.000189179
         106    0.103194    0.104754 0.000187978
         107    0.102309    0.104731 0.000187605
         108    0.103222    0.104717 0.000186387
         109    0.102528    0.104697 0.000185756
