#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.11923     2.11923           0
           2     2.15294     2.13608   0.0119167
           3     2.16769     2.14662   0.0117089
           4     2.20211     2.16049   0.0148814
           5     2.17977     2.16435   0.0123945
           6     2.19737     2.16985   0.0114861
           7     2.19166     2.17297   0.0102592
           8     2.20886     2.17745  0.00990956
           9     2.17223     2.17687  0.00882548
          10     2.17812       2.177  0.00794382
          11     2.17728     2.17702  0.00722169
          12     2.19173     2.17825  0.00672312
          13     2.18382     2.17868  0.00621961
          14     2.19616     2.17993  0.00589933
          15     2.20281     2.18145  0.00569987
          16     2.19777     2.18247  0.00543409
          17     2.21085     2.18414  0.00536465
          18     2.20215     2.18514  0.00515911
          19     2.20067     2.18596  0.00495193
          20     2.17367     2.18534   0.0047423
          21     2.19831     2.18596  0.00455647
          22     2.19659     2.18644   0.0043749
          23     2.20572     2.18728  0.00426421
          24     2.21194     2.18831   0.0042085
          25     2.22174     2.18965  0.00424727
          26     2.21327     2.19056  0.00417997
          27      2.2071     2.19117   0.0040698
          28     2.20869     2.19179  0.00397229
          29     2.18498     2.19156  0.00384225
          30     2.19457     2.19166  0.00371549
          31     2.17926     2.19126  0.00361711
          32     2.19815     2.19148  0.00351048
          33     2.18246      2.1912  0.00341472
          34     2.18691     2.19108  0.00331662
          35     2.19777     2.19127  0.00322736
          36     2.19225     2.19129  0.00313783
          37     2.20289     2.19161  0.00306863
          38     2.18598     2.19146  0.00299145
          39     2.19346     2.19151  0.00291518
          40     2.20109     2.19175  0.00285213
          41     2.20181       2.192   0.0027931
          42     2.19394     2.19204  0.00272698
          43      2.1636     2.19138  0.00274259
          44      2.1645     2.19077  0.00274747
          45     2.22334     2.19149  0.00278012
          46     2.18071     2.19126  0.00272955
          47      2.1815     2.19105  0.00267935
          48     2.20192     2.19128  0.00263309
          49     2.17506     2.19095  0.00260008
          50     2.16861      2.1905  0.00258618
          51     2.19941     2.19067  0.00254137
          52     2.17368     2.19035  0.00251341
          53     2.18939     2.19033  0.00246605
          54     2.18278     2.19019  0.00242434
          55     2.20308     2.19042  0.00239156
          56     2.20264     2.19064  0.00235879
          57     2.19824     2.19078  0.00232117
          58     2.17476      2.1905  0.00229752
          59     2.19479     2.19057  0.00225973
          60     2.19404     2.19063   0.0022228
          61     2.20706      2.1909  0.00220261
          62     2.20975      2.1912  0.00218796
          63     2.18461      2.1911  0.00215573
          64     2.21249     2.19143   0.0021478
          65     2.18276      2.1913   0.0021189
          66     2.17151       2.191  0.00210791
          67     2.19771      2.1911  0.00207882
          68     2.19691     2.19119  0.00205001
          69     2.18794     2.19114  0.00202084
          70     2.18223     2.19101  0.00199598
          71     2.18331      2.1909  0.00197081
          72     2.19461     2.19095  0.00194411
          73     2.17673     2.19076  0.00192722
          74     2.16036     2.19035  0.00194447
          75     2.20628     2.19056  0.00193011
          76     2.17403     2.19034  0.00191693
          77     2.20015     2.19047  0.00189627
          78     2.21471     2.19078  0.00189724
          79     2.16018     2.19039  0.00191237
          80     2.18712     2.19035   0.0018889
          81     2.18642      2.1903  0.00186621
          82     2.21716     2.19063  0.00187196
          83     2.21578     2.19094  0.00187377
          84     2.23323     2.19144  0.00191791
          85     2.18957     2.19142  0.00189548
          86     2.22619     2.19182  0.00191608
          87      2.2199     2.19214  0.00192104
          88     2.17396     2.19194   0.0019103
          89     2.18364     2.19184  0.00189111
          90     2.20487     2.19199  0.00187563
          91     2.19708     2.19204  0.00185585
          92     2.19586     2.19209  0.00183614
          93     2.17195     2.19187  0.00182912
          94     2.19642     2.19192   0.0018103
          95     2.16722     2.19166  0.00180983
          96     2.19815     2.19173  0.00179224
          97     2.19075     2.19172  0.00177379
          98     2.19499     2.19175    0.001756
          99     2.20091     2.19184   0.0017407
         100     2.20426     2.19197  0.00172772
         101     2.18682     2.19191  0.00171137
         102     2.19028      2.1919  0.00169467
         103     2.18932     2.19187   0.0016784
         104     2.19223     2.19188  0.00166226
         105     2.20852     2.19204  0.00165397
         106     2.20955      2.1922  0.00164659
         107     2.20008     2.19227  0.00163285
         108     2.20004     2.19235  0.00161932
         109     2.20094     2.19242  0.00160638
         110     2.20405     2.19253  0.00159525
         111     2.20832     2.19267  0.00158721
         112     2.19994     2.19274  0.00157436
         113     2.18545     2.19267  0.00156175
         114     2.18518     2.19261  0.00154943
         115     2.19404     2.19262  0.00153601
         116     2.19438     2.19264  0.00152284
         117     2.18019     2.19253  0.00151353
         118     2.19849     2.19258  0.00150155
         119     2.15544     2.19227  0.00152101
         120     2.16676     2.19205  0.00152312
         121     2.16299     2.19181  0.00152935
         122     2.19555     2.19185  0.00151712
         123     2.19951     2.19191  0.00150606
         124     2.18435     2.19185  0.00149515
         125     2.17429     2.19171  0.00148977
         126     2.18402     2.19164   0.0014792
         127     2.21165      2.1918  0.00147591
         128     2.19733     2.19185  0.00146502
         129     2.20973     2.19198   0.0014602
         130     2.20131     2.19206  0.00145073
         131     2.19731      2.1921  0.00144021
         132      2.1718     2.19194  0.00143748
         133     2.18102     2.19186  0.00142902
         134     2.18119     2.19178  0.00142057
         135     2.19431      2.1918  0.00141017
         136     2.19872     2.19185  0.00140072
         137     2.19744     2.19189  0.00139109
         138      2.2008     2.19196  0.00138251
         139     2.19216     2.19196  0.00137256
         140     2.20318     2.19204   0.0013651
         141     2.18615       2.192  0.00135606
