#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96382     2.96382           0
           2     2.96389     2.96386 2.35406e-05
           3     2.96379     2.96383 2.52404e-05
           4     2.96378     2.96382   2.184e-05
           5     2.96375     2.96381 2.19532e-05
           6     2.96381     2.96381  1.8324e-05
           7      2.9638     2.96381 1.57815e-05
           8     2.96384     2.96381  1.4428e-05
           9     2.96384     2.96381 1.31383e-05
          10     2.96375     2.96381 1.31288e-05
          11     2.96387     2.96381 1.31492e-05
          12     2.96382     2.96381 1.20774e-05
          13     2.96371     2.96381 1.36885e-05
          14     2.96376      2.9638 1.31273e-05
          15     2.96388     2.96381 1.31941e-05
          16      2.9638     2.96381 1.23708e-05
          17     2.96372      2.9638 1.27411e-05
          18     2.96387     2.96381 1.25386e-05
          19     2.96375      2.9638  1.2182e-05
          20      2.9638      2.9638 1.15759e-05
          21     2.96376      2.9638 1.11941e-05
          22     2.96378      2.9638 1.07285e-05
          23     2.96372      2.9638 1.08328e-05
          24     2.96361     2.96379 1.27608e-05
          25     2.96363     2.96378  1.3767e-05
          26     2.96379     2.96378 1.32394e-05
          27     2.96366     2.96378 1.34967e-05
          28     2.96375     2.96378 1.30535e-05
          29     2.96374     2.96378 1.26536e-05
          30     2.96375     2.96377 1.22511e-05
          31      2.9638     2.96378 1.18955e-05
          32     2.96377     2.96378 1.15278e-05
          33     2.96384     2.96378 1.13506e-05
          34     2.96387     2.96378 1.13677e-05
          35     2.96379     2.96378 1.10503e-05
          36     2.96375     2.96378 1.07671e-05
          37      2.9638     2.96378 1.04853e-05
          38     2.96371     2.96378 1.03674e-05
          39     2.96377     2.96378 1.01057e-05
          40     2.96377     2.96378 9.85536e-06
          41     2.96382     2.96378 9.65872e-06
          42     2.96372     2.96378 9.52816e-06
          43     2.96376     2.96378 9.31435e-06
          44     2.96378     2.96378 9.10322e-06
          45     2.96364     2.96377 9.41623e-06
          46     2.96385     2.96378 9.34116e-06
          47     2.96385     2.96378 9.26761e-06
          48     2.96377     2.96378 9.07538e-06
          49     2.96387     2.96378 9.07635e-06
          50     2.96376     2.96378 8.90515e-06
          51     2.96384     2.96378 8.80237e-06
          52     2.96379     2.96378 8.63437e-06
          53     2.96374     2.96378  8.4968e-06
          54     2.96386     2.96378 8.48306e-06
          55     2.96373     2.96378 8.38334e-06
          56     2.96381     2.96378 8.25331e-06
          57     2.96389     2.96378 8.31602e-06
          58     2.96385     2.96378 8.25924e-06
          59     2.96376     2.96378 8.12715e-06
          60     2.96373     2.96378 8.04041e-06
          61     2.96368     2.96378 8.08255e-06
          62     2.96376     2.96378 7.95911e-06
          63     2.96387     2.96378 7.95176e-06
          64     2.96379     2.96378 7.82787e-06
          65      2.9638     2.96378 7.71058e-06
          66      2.9638     2.96378 7.59719e-06
          67     2.96375     2.96378 7.49859e-06
          68     2.96377     2.96378 7.38915e-06
          69     2.96385     2.96378  7.3447e-06
          70     2.96377     2.96378 7.24367e-06
          71     2.96381     2.96378 7.15472e-06
          72     2.96379     2.96378 7.05558e-06
          73     2.96393     2.96378 7.25291e-06
          74     2.96377     2.96378 7.15632e-06
          75     2.96376     2.96378 7.06646e-06
          76     2.96374     2.96378 6.99501e-06
          77     2.96371     2.96378 6.97705e-06
          78     2.96367     2.96378 7.02699e-06
          79     2.96378     2.96378 6.93818e-06
          80      2.9637     2.96378 6.92564e-06
          81     2.96383     2.96378 6.87113e-06
          82     2.96375     2.96378 6.79505e-06
          83     2.96367     2.96378 6.83815e-06
          84     2.96376     2.96378  6.7599e-06
          85     2.96376     2.96378 6.68319e-06
          86     2.96375     2.96378 6.61525e-06
          87     2.96388     2.96378 6.63665e-06
          88     2.96383     2.96378 6.58582e-06
          89     2.96379     2.96378 6.51371e-06
          90     2.96384     2.96378 6.47409e-06
          91     2.96371     2.96378 6.44975e-06
          92     2.96382     2.96378  6.3941e-06
          93     2.96378     2.96378 6.32548e-06
          94     2.96378     2.96378 6.25826e-06
          95     2.96384     2.96378 6.22141e-06
          96     2.96372     2.96378 6.18898e-06
          97     2.96382     2.96378 6.14167e-06
          98     2.96378     2.96378 6.07911e-06
          99     2.96377     2.96378 6.01831e-06
         100     2.96377     2.96378 5.95855e-06
         101     2.96366     2.96378 6.02573e-06
         102     2.96379     2.96378 5.96729e-06
         103     2.96386     2.96378 5.96616e-06
         104     2.96373     2.96378 5.92678e-06
         105     2.96367     2.96378 5.95737e-06
         106     2.96366     2.96378  6.0006e-06
         107     2.96362     2.96378 6.13363e-06
         108     2.96378     2.96378 6.07685e-06
         109     2.96378     2.96378 6.02144e-06
         110     2.96366     2.96378 6.06118e-06
         111     2.96368     2.96377 6.06348e-06
         112     2.96367     2.96377 6.08278e-06
         113     2.96383     2.96377 6.04842e-06
         114      2.9638     2.96377 6.00054e-06
         115     2.96376     2.96377   5.949e-06
         116     2.96376     2.96377 5.89978e-06
         117     2.96388     2.96377 5.91519e-06
         118     2.96386     2.96378 5.90636e-06
         119     2.96385     2.96378 5.89261e-06
         120     2.96388     2.96378 5.90371e-06
         121     2.96387     2.96378  5.9014e-06
         122     2.96374     2.96378 5.85979e-06
         123     2.96385     2.96378 5.83885e-06
         124      2.9638     2.96378 5.79387e-06
         125     2.96386     2.96378 5.78793e-06
         126     2.96379     2.96378 5.74265e-06
         127     2.96386     2.96378   5.735e-06
         128     2.96375     2.96378  5.6948e-06
         129     2.96381     2.96378 5.65544e-06
         130     2.96376     2.96378 5.61341e-06
         131      2.9638     2.96378 5.57227e-06
         132     2.96386     2.96378 5.56114e-06
         133     2.96377     2.96378 5.52034e-06
         134     2.96388     2.96378 5.53156e-06
         135     2.96371     2.96378 5.51277e-06
         136     2.96377     2.96378 5.47302e-06
         137     2.96364     2.96378 5.52639e-06
         138     2.96375     2.96378 5.49021e-06
         139     2.96381     2.96378 5.45623e-06
         140     2.96381     2.96378 5.42306e-06
         141     2.96376     2.96378 5.38595e-06
         142     2.96388     2.96378 5.39724e-06
         143     2.96377     2.96378 5.35962e-06
         144     2.96379     2.96378 5.32289e-06
         145     2.96381     2.96378 5.28906e-06
         146     2.96376     2.96378 5.25396e-06
         147     2.96387     2.96378 5.25613e-06
         148     2.96371     2.96378 5.24276e-06
         149     2.96372     2.96378 5.22252e-06
         150     2.96373     2.96378 5.19982e-06
         151     2.96377     2.96378 5.16557e-06
         152     2.96381     2.96378 5.13482e-06
         153     2.96382     2.96378 5.10691e-06
         154     2.96374     2.96378 5.08038e-06
         155     2.96377     2.96378 5.04788e-06
         156     2.96384     2.96378 5.03189e-06
         157      2.9637     2.96378 5.02261e-06
         158     2.96382     2.96378 4.99794e-06
         159     2.96381     2.96378 4.97129e-06
         160     2.96379     2.96378 4.94041e-06
         161     2.96389     2.96378  4.9536e-06
         162     2.96391     2.96378 4.98393e-06
         163     2.96386     2.96378 4.97617e-06
         164     2.96376     2.96378 4.94699e-06
         165     2.96388     2.96378 4.94909e-06
         166     2.96381     2.96378 4.92234e-06
         167     2.96371     2.96378 4.91037e-06
         168     2.96371     2.96378 4.90125e-06
         169      2.9638     2.96378 4.87292e-06
         170     2.96387     2.96378 4.86872e-06
         171     2.96383     2.96378 4.84913e-06
         172     2.96368     2.96378 4.85967e-06
         173     2.96384     2.96378 4.84252e-06
         174     2.96374     2.96378 4.82182e-06
         175     2.96367     2.96378 4.83342e-06
         176     2.96376     2.96378 4.80749e-06
         177     2.96378     2.96378 4.78033e-06
         178     2.96388     2.96378 4.78593e-06
         179     2.96385     2.96378 4.77628e-06
         180      2.9638     2.96378 4.75108e-06
         181     2.96388     2.96378 4.75302e-06
         182     2.96366     2.96378 4.77419e-06
         183      2.9638     2.96378 4.74965e-06
         184     2.96394     2.96378 4.79817e-06
         185     2.96379     2.96378 4.77242e-06
         186     2.96383     2.96378 4.75224e-06
         187     2.96383     2.96378  4.7326e-06
         188     2.96378     2.96378 4.70746e-06
         189      2.9637     2.96378 4.70398e-06
         190      2.9636     2.96378  4.7756e-06
         191     2.96374     2.96378 4.75697e-06
         192     2.96379     2.96378 4.73255e-06
         193     2.96363     2.96378 4.77308e-06
         194     2.96376     2.96378 4.74962e-06
         195     2.96375     2.96378  4.7278e-06
         196     2.96383     2.96378 4.70937e-06
         197     2.96378     2.96378 4.68546e-06
         198     2.96385     2.96378  4.6744e-06
         199     2.96386     2.96378 4.66763e-06
         200     2.96372     2.96378 4.65382e-06
