#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00002     3.00002           0
           2     3.00017      3.0001 5.33303e-05
           3     3.00048     3.00023  0.00011068
           4     3.00096     3.00041 0.000179214
           5     3.00162     3.00065  0.00025986
           6     3.00249     3.00096 0.000354109
           7     3.00359     3.00134 0.000461363
           8     3.00492     3.00178 0.000582078
           9     3.00654     3.00231 0.000718016
          10     3.00847     3.00293 0.000871023
          11     3.01076     3.00364  0.00104331
          12     3.01349     3.00446  0.00123802
          13     3.01674     3.00541  0.00145935
          14     3.02063     3.00649  0.00171302
          15     3.02532     3.00775  0.00200669
          16     3.03102      3.0092  0.00235012
          17     3.03804      3.0109  0.00275685
          18     3.04678     3.01289  0.00324526
          19     3.05783     3.01526  0.00384067
          20       3.072     3.01809  0.00457814
          21     3.09046     3.02154  0.00550622
          22      3.1148     3.02578  0.00669172
          23     3.14725     3.03106  0.00822485
          24      3.1906     3.03771   0.0102212
          25     3.24765     3.04611   0.0128056
          26     3.31801     3.05656   0.0160242
          27     3.38491     3.06872   0.0195068
          28     3.36924     3.07946   0.0215614
          29     3.05171      3.0785   0.0208391
          30     2.38942     3.05553   0.0302623
          31     2.27513     3.03036   0.0383534
          32     2.94499     3.02769   0.0372475
          33     3.36847     3.03802    0.037523
          34     3.39068     3.04839   0.0378258
          35     3.21999     3.05329   0.0370615
          36     3.16598     3.05642   0.0361639
          37     3.22218      3.0609   0.0354629
          38     3.21272      3.0649    0.034754
          39     3.18251     3.06791   0.0339935
          40     3.15718     3.07014   0.0332168
          41     3.13976     3.07184     0.03245
          42      3.1287      3.0732   0.0317057
          43     3.12199     3.07433   0.0309886
          44     3.11778     3.07532   0.0303001
          45     3.11431     3.07618   0.0296391
          46     3.11011     3.07692    0.029004
          47     3.10447     3.07751   0.0283928
          48     3.09875     3.07795   0.0278047
          49     3.09737     3.07835   0.0272401
          50     3.10472     3.07887   0.0267004
          51     3.11945     3.07967   0.0261887
          52     3.13707     3.08077   0.0257083
          53     3.15516     3.08218   0.0252615
          54      3.1728     3.08386   0.0248494
          55     3.18847     3.08576   0.0244703
          56     3.19792     3.08776   0.0241152
          57     3.19194     3.08959   0.0237612
          58     3.16347     3.09086   0.0233857
          59     3.12885     3.09151   0.0229982
          60     3.10882     3.09179   0.0226167
          61     3.10813     3.09206   0.0222475
          62     3.16879      3.0933   0.0219231
          63     3.24153     3.09565    0.021701
          64     3.23597     3.09785   0.0214724
          65     3.19302     3.09931   0.0211919
          66     3.18207     3.10056   0.0209079
          67     3.20234     3.10208   0.0206509
          68     3.19871      3.1035    0.020396
          69     3.18727     3.10472   0.0201366
          70     3.19526     3.10601   0.0198904
          71     3.23346     3.10781   0.0196911
          72     3.25199     3.10981   0.0195191
          73     3.18136     3.11079   0.0192764
          74     3.08413     3.11043   0.0190192
          75     3.08579      3.1101   0.0187685
          76     3.16216     3.11078    0.018534
          77     3.21651     3.11216   0.0183441
          78     3.23252      3.1137   0.0181737
          79     3.22913     3.11516   0.0180023
          80     3.21814     3.11645   0.0178232
          81     3.20464     3.11754   0.0176364
          82     3.18984     3.11842   0.0174434
          83     3.17448      3.1191   0.0172463
          84     3.16445     3.11964   0.0170494
          85     3.16589     3.12018   0.0168575
          86     3.17313     3.12079   0.0166727
          87     3.17963     3.12147   0.0164948
          88      3.1853      3.1222   0.0163233
          89     3.18988     3.12296   0.0161576
          90     3.18797     3.12368   0.0159942
          91     3.17695     3.12426   0.0158292
          92     3.17924     3.12486   0.0156684
          93     3.19918     3.12566   0.0155203
          94     3.21999     3.12666   0.0153876
          95     3.24836     3.12795   0.0152788
          96     3.27096     3.12944   0.0151921
          97      3.2711      3.1309   0.0151055
          98      3.2366     3.13197   0.0149899
          99     3.17626     3.13242   0.0148451
         100     3.16365     3.13273   0.0146999
         101     3.22364     3.13363   0.0145819
         102     3.27621     3.13503   0.0145058
         103     3.27928     3.13643   0.0144324
         104     3.25255     3.13755   0.0143368
         105     3.25368     3.13866   0.0142428
         106     3.27054      3.1399   0.0141627
         107     3.26845      3.1411   0.0140812
         108     3.25874     3.14219   0.0139929
         109      3.2566     3.14324   0.0139038
         110     3.25957      3.1443   0.0138176
         111      3.2697     3.14543   0.0137392
         112     3.27614     3.14659    0.013666
         113     3.26915     3.14768   0.0135881
         114     3.24065     3.14849   0.0134933
         115      3.1886     3.14884   0.0133805
         116     3.18755     3.14918   0.0132693
         117     3.21742     3.14976   0.0131687
