#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0352157  -0.0352157           0
           2  -0.0353744  -0.0352951 5.60929e-05
           3  -0.0356922  -0.0354274 0.000114371
           4  -0.0362182  -0.0356251 0.000191482
           5  -0.0370401  -0.0359081  0.00029586
           6  -0.0381284  -0.0362782 0.000418207
           7  -0.0392322  -0.0367002 0.000530234
           8  -0.0406827   -0.037198 0.000657341
           9  -0.0425054  -0.0377877 0.000806558
          10  -0.0445112  -0.0384601 0.000966325
          11  -0.0468279  -0.0392208  0.00113921
          12  -0.0495801   -0.040084  0.00133179
          13  -0.0528571  -0.0410666  0.00154997
          14   -0.056628  -0.0421781  0.00179408
          15  -0.0613261  -0.0434546   0.0020796
          16  -0.0671086   -0.044933  0.00241868
          17  -0.0742657  -0.0466585  0.00282561
          18  -0.0831056  -0.0486833  0.00331569
          19  -0.0943798  -0.0510884  0.00391752
          20   -0.108751  -0.0539715  0.00466342
          21   -0.127517  -0.0574737  0.00560417
          22   -0.152212    -0.06178  0.00680571
          23   -0.185129   -0.067143  0.00835996
          24   -0.229093  -0.0738909   0.0103838
          25   -0.286816  -0.0824079   0.0130003
          26   -0.357617  -0.0929929   0.0162477
          27   -0.423077   -0.105218    0.019716
          28   -0.398841   -0.115705   0.0216215
          29  -0.0595087   -0.113767   0.0209626
          30    0.603602  -0.0898546   0.0310381
          31    0.666475  -0.0654569   0.0384481
          32  -0.0138506  -0.0638442   0.0372804
          33   -0.413155  -0.0744294   0.0376235
          34   -0.420997  -0.0846226   0.0378725
          35   -0.247427  -0.0892741    0.037075
          36    -0.20489  -0.0924857    0.036184
          37   -0.259084  -0.0969883   0.0354851
          38   -0.247245   -0.100942   0.0347709
          39   -0.217018   -0.103919   0.0340064
          40   -0.192056   -0.106122   0.0332276
          41   -0.174982   -0.107802   0.0324596
          42   -0.164178   -0.109144   0.0317145
          43   -0.157627   -0.110271    0.030997
          44   -0.153456   -0.111253    0.030308
          45    -0.14998   -0.112114   0.0296467
          46   -0.145731   -0.112844   0.0290112
          47   -0.140067   -0.113424   0.0283998
          48   -0.134459   -0.113862   0.0278115
          49   -0.133495   -0.114262   0.0272468
          50   -0.141337   -0.114804   0.0267072
          51   -0.156312   -0.115618    0.026196
          52   -0.174019   -0.116741   0.0257163
