#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.096483    0.096483           0
           2   0.0964723   0.0964776 3.80081e-06
           3    0.096451   0.0964688 7.68393e-06
           4   0.0964146   0.0964552 1.30704e-05
           5   0.0963548   0.0964351 2.07781e-05
           6   0.0962757   0.0964086 2.98088e-05
           7   0.0962025   0.0963791 3.73606e-05
           8    0.096103   0.0963446 4.59495e-05
           9   0.0959759   0.0963036 5.62132e-05
          10   0.0958417   0.0962574 6.69351e-05
          11   0.0956892   0.0962058 7.82856e-05
          12   0.0955086   0.0961477 9.07948e-05
          13   0.0952944    0.096082 0.000104885
          14   0.0950545   0.0960086 0.000120366
          15   0.0947522   0.0959249 0.000138455
          16   0.0943808   0.0958284 0.000159937
          17    0.093925   0.0957164 0.000185628
          18   0.0933739   0.0955863 0.000216173
          19    0.092683   0.0954335 0.000253103
          20   0.0918337   0.0952535 0.000297642
          21   0.0907735   0.0950401 0.000351708
          22   0.0894791   0.0947874 0.000416773
          23   0.0879519   0.0944902 0.000493363
          24   0.0863456   0.0941508  0.00057785
          25   0.0852763   0.0937958 0.000654755
          26   0.0867799    0.093526 0.000682918
          27   0.0974405    0.093671 0.000672838
          28    0.137303   0.0952293  0.00166208
          29    0.248676    0.100521  0.00544127
          30    0.413266    0.110945   0.0115205
          31    0.425726      0.1211   0.0149693
          32    0.262403    0.125515   0.0151388
          33    0.145422    0.126119    0.014692
          34    0.114056    0.125764   0.0142642
          35    0.128019    0.125828   0.0138568
          36    0.120586    0.125683   0.0134726
          37   0.0967315      0.1249   0.0131312
          38   0.0889587    0.123954   0.0128197
          39    0.088381    0.123042   0.0125234
          40   0.0894092    0.122201   0.0122385
          41   0.0906776    0.121432   0.0119641
          42   0.0919721    0.120731   0.0116998
          43   0.0933719    0.120095    0.011445
          44   0.0950421    0.119525    0.011199
          45   0.0971542    0.119028   0.0109612
          46   0.0998113    0.118611   0.0107309
          47    0.102885    0.118276   0.0105078
          48    0.105758    0.118015   0.0102921
          49    0.107222    0.117795   0.0100844
          50    0.106327    0.117566  0.00988532
          51    0.103548    0.117291  0.00969531
          52    0.100102     0.11696   0.0095145
          53   0.0968571    0.116581  0.00934254
          54   0.0944111     0.11617  0.00917854
          55   0.0934829    0.115758  0.00902093
          56   0.0953023    0.115393  0.00886723
          57    0.101796    0.115154  0.00871487
          58    0.113608    0.115127  0.00856466
          59    0.125934     0.11531  0.00842145
          60     0.13354    0.115614  0.00828657
          61    0.134273     0.11592  0.00815637
          62    0.120475    0.115994  0.00802515
          63    0.105554    0.115828  0.00789947
          64    0.108192    0.115709  0.00777695
          65    0.118908    0.115758  0.00765746
          66    0.123698    0.115878  0.00754238
