#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00002     2.00002           0
           2     2.00012     2.00007 3.55536e-05
           3     2.00032     2.00015 7.37866e-05
           4     2.00064     2.00027 0.000119476
           5     2.00108     2.00044  0.00017324
           6     2.00166     2.00064 0.000236073
           7     2.00239     2.00089 0.000307575
           8     2.00328     2.00119 0.000388052
           9     2.00436     2.00154 0.000478677
          10     2.00565     2.00195 0.000580682
          11     2.00718     2.00243 0.000695543
          12       2.009     2.00297 0.000825348
          13     2.01116      2.0036   0.0009729
          14     2.01375     2.00433  0.00114201
          15     2.01688     2.00517  0.00133779
          16     2.02068     2.00614  0.00156675
          17     2.02536     2.00727   0.0018379
          18     2.03119      2.0086  0.00216351
          19     2.03855     2.01017  0.00256045
          20       2.048     2.01206   0.0030521
          21      2.0603     2.01436  0.00367082
          22     2.07654     2.01719  0.00446114
          23     2.09816     2.02071  0.00548323
          24     2.12706     2.02514  0.00681414
          25      2.1651     2.03074  0.00853709
          26     2.21201     2.03771   0.0106828
          27      2.2566     2.04582   0.0130045
          28     2.24616     2.05297   0.0143743
          29     2.03448     2.05233   0.0138928
          30     1.59295     2.03702   0.0201749
          31     1.51675     2.02024   0.0255689
          32     1.96333     2.01846   0.0248317
          33     2.24565     2.02534   0.0250153
          34     2.26045     2.03226   0.0252172
          35     2.14666     2.03553   0.0247077
          36     2.11065     2.03761   0.0241093
          37     2.14812      2.0406    0.023642
          38     2.14181     2.04326   0.0231694
          39     2.12167     2.04527   0.0226623
          40     2.10479     2.04676   0.0221446
          41     2.09318     2.04789   0.0216334
          42      2.0858      2.0488   0.0211371
          43     2.08133     2.04955   0.0206591
          44     2.07852     2.05021      0.0202
          45     2.07621     2.05079   0.0197594
          46      2.0734     2.05128    0.019336
          47     2.06965     2.05167   0.0189285
          48     2.06584     2.05197   0.0185365
          49     2.06491     2.05223   0.0181601
          50     2.06981     2.05258   0.0178003
          51     2.07963     2.05311   0.0174591
          52     2.09138     2.05385   0.0171389
          53     2.10344     2.05478    0.016841
          54      2.1152      2.0559   0.0165663
          55     2.12565     2.05717   0.0163135
          56     2.13194     2.05851   0.0160768
          57     2.12796     2.05973   0.0158408
          58     2.10898     2.06057   0.0155905
          59      2.0859       2.061   0.0153321
          60     2.07255      2.0612   0.0150778
          61     2.07209     2.06137   0.0148317
          62     2.11252      2.0622   0.0146154
          63     2.16102     2.06377   0.0144673
          64     2.15731     2.06523   0.0143149
          65     2.12868     2.06621   0.0141279
          66     2.12138     2.06704   0.0139386
          67     2.13489     2.06805   0.0137673
          68     2.13247       2.069   0.0135974
          69     2.12485     2.06981   0.0134244
          70     2.13017     2.07067   0.0132603
          71     2.15564     2.07187   0.0131274
          72     2.16799     2.07321   0.0130128
          73      2.1209     2.07386   0.0128509
          74     2.05608     2.07362   0.0126795
          75     2.05719      2.0734   0.0125123
          76     2.10811     2.07386    0.012356
          77     2.14434     2.07477   0.0122294
          78     2.15501      2.0758   0.0121158
          79     2.15275     2.07677   0.0120015
          80     2.14543     2.07763   0.0118822
