#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96481     2.96481           0
           2      2.9648      2.9648 2.76247e-06
           3     2.96479      2.9648 3.75367e-06
           4     2.96474     2.96479 1.26798e-05
           5     2.96458     2.96475 3.77739e-05
           6     2.96437     2.96468 6.56617e-05
           7     2.96436     2.96464 7.09774e-05
           8     2.96424     2.96459 7.74778e-05
           9     2.96403     2.96452 9.01381e-05
          10     2.96396     2.96447 9.73539e-05
          11     2.96394     2.96442 9.97328e-05
          12     2.96391     2.96438 9.99347e-05
          13     2.96388     2.96434 9.91677e-05
          14       2.964     2.96432 9.49603e-05
          15       2.964     2.96429 9.09853e-05
          16     2.96391     2.96427 8.83241e-05
          17     2.96377     2.96424 8.78412e-05
          18     2.96367     2.96421 8.84439e-05
          19     2.96345     2.96417 9.24586e-05
          20     2.96325     2.96412 9.86166e-05
          21     2.96294     2.96407  0.00010888
          22     2.96259       2.964 0.000122859
          23     2.96212     2.96392 0.000142179
          24      2.9615     2.96382 0.000168153
          25     2.96084      2.9637 0.000199254
          26     2.96039     2.96357 0.000228534
          27     2.96183     2.96351 0.000228996
          28      2.9704     2.96375 0.000327356
          29     2.99221     2.96473  0.00101458
          30     2.99302     2.96568  0.00134957
          31      2.9416      2.9649   0.0015131
          32     2.93114     2.96384   0.0017964
          33     2.95531     2.96359  0.00176046
          34     2.96968     2.96377  0.00171779
          35     2.97256     2.96402  0.00168699
          36     2.96109     2.96394  0.00164209
          37      2.9631     2.96391  0.00159787
          38     2.96547     2.96395  0.00155635
          39     2.96549     2.96399  0.00151694
          40     2.96513     2.96402  0.00147928
          41     2.96478     2.96404  0.00144332
          42     2.96452     2.96405    0.001409
          43     2.96437     2.96406  0.00137625
          44     2.96432     2.96406  0.00134499
          45     2.96433     2.96407  0.00131511
          46     2.96437     2.96408  0.00128654
          47     2.96441     2.96408  0.00125918
          48      2.9643     2.96409  0.00123296
          49     2.96388     2.96408   0.0012078
          50     2.96338     2.96407  0.00118373
          51     2.96314     2.96405  0.00116066
          52     2.96305     2.96403   0.0011385
          53     2.96303     2.96401  0.00111718
          54     2.96307       2.964  0.00109663
          55     2.96322     2.96398  0.00107678
          56     2.96371     2.96398  0.00105756
          57     2.96475     2.96399   0.0010391
          58     2.96573     2.96402  0.00102161
          59     2.96527     2.96404  0.00100452
          60     2.96454     2.96405 0.000987808
          61      2.9626     2.96403 0.000971902
          62     2.95943     2.96395 0.000959054
          63       2.962     2.96392 0.000944332
          64     2.96602     2.96395 0.000930146
          65     2.96529     2.96397 0.000916063
          66     2.96333     2.96396 0.000902235
          67     2.96308     2.96395 0.000888866
          68     2.96476     2.96396 0.000875873
          69     2.96388     2.96396  0.00086318
          70     2.96298     2.96395 0.000850964
          71     2.96148     2.96391 0.000839688
          72     2.96532     2.96393 0.000828254
          73     2.96929     2.96401 0.000820153
          74     2.96687     2.96405 0.000809983
          75     2.96099       2.964 0.000800205
          76      2.9602     2.96395 0.000791242
          77     2.96238     2.96393 0.000781232
          78     2.96377     2.96393 0.000771219
          79     2.96436     2.96394 0.000761475
          80     2.96453     2.96394 0.000751993
          81     2.96459     2.96395 0.000742751
          82     2.96465     2.96396 0.000733742
          83     2.96459     2.96397 0.000724941
          84     2.96409     2.96397 0.000716312
          85     2.96358     2.96397   0.0007079
          86     2.96352     2.96396 0.000699688
          87     2.96359     2.96396 0.000691659
          88     2.96361     2.96395  0.00068381
          89     2.96375     2.96395 0.000676131
          90     2.96428     2.96395 0.000668628
          91     2.96434     2.96396 0.000661294
          92     2.96308     2.96395 0.000654175
          93     2.96285     2.96394 0.000647247
          94     2.96262     2.96392 0.000640512
          95     2.96239     2.96391 0.000633973
          96      2.9632      2.9639 0.000627411
          97     2.96464     2.96391  0.00062099
          98     2.96658     2.96393 0.000615253
          99     2.96639     2.96396  0.00060954
         100     2.96206     2.96394 0.000603741
         101      2.9604      2.9639 0.000598777
         102     2.96236     2.96389 0.000593099
         103     2.96489      2.9639  0.00058742
         104      2.9647     2.96391 0.000581823
