# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702           1           1           0
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702           1           1     7.31437
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702           1           1     5.97216
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702           1           1     5.17204
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702    0.998611    0.999722     4.62473
     2.54558  0.00138889 0.000277778  0.00288408
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702    0.955556    0.992361     4.19128
     2.54558   0.0444444  0.00763889   0.0769545
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
