# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
    0.188562      0.0025      0.0025           0
    0.565685      2.3555      2.3555           0
    0.942809      5.6575      5.6575           0
     1.31993      10.919      10.919           0
     1.69706       14.83       14.83           0
     2.07418     18.9775     18.9775           0
      2.4513     19.8235     19.8235           0
     2.82843     13.1335     13.1335           0
     3.20555     12.2435     12.2435           0
     3.58267       4.945       4.945           0
      3.9598       2.703       2.703           0
     4.33692      0.5475      0.5475           0
     4.71405      0.1225      0.1225           0
     5.09117        0.31        0.31           0
     5.46829      0.4295      0.4295           0
     5.84542           0           0           0
     6.22254           0           0           0
     6.59966       0.728       0.728           0
     6.97679       0.272       0.272           0
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562       0.042     0.02225   0.0139654
    0.565685       0.801     1.57825    0.549599
    0.942809      4.3035      4.9805    0.478711
     1.31993      14.928     12.9235      1.4174
     1.69706      12.625     13.7275    0.779585
     2.07418      21.082     20.0297    0.744053
      2.4513     16.7485      18.286     1.08718
     2.82843      14.018     13.5757    0.312718
     3.20555      10.693     11.4682    0.548185
     3.58267        5.25      5.0975    0.107834
      3.9598      3.1505     2.92675    0.158215
     4.33692      2.6585       1.603    0.746351
     4.71405      0.2075       0.165    0.030052
     5.09117      0.5495     0.42975    0.084676
     5.46829       0.061     0.24525    0.130284
     5.84542      0.4085     0.20425    0.144427
     6.22254      0.0705     0.03525   0.0249255
     6.59966       0.337      0.5325    0.138239
     6.97679       0.066       0.169    0.072832
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562       0.022   0.0221667  0.00931049
    0.565685      2.0555     1.73733    0.388742
    0.942809      7.1415     5.70083    0.669157
     1.31993      9.5765     11.8078     1.31252
     1.69706     16.2605     14.5718    0.863353
     2.07418     19.2435     19.7677    0.540225
      2.4513     15.0585     17.2102     1.13883
     2.82843      12.713     13.2882    0.314006
     3.20555      10.723     11.2198     0.41797
