# VELOCITY:     AVE_POFV:        ERROR:
   0.0942809       0.018           0
    0.282843       0.142           0
    0.471405        0.25           0
    0.659966      0.2465           0
    0.848528       0.432           0
     1.03709         0.2           0
     1.22565       0.684           0
     1.41421        0.37           0
     1.60278      1.3385           0
     1.79134      2.0915           0
      1.9799       1.415           0
     2.16846      1.8745           0
     2.35702      26.155           0
     2.54558     57.2175           0
     2.73415      8.3925           0
     2.92271       2.048           0
     3.11127       1.958           0
     3.29983       1.572           0
     3.48839      0.8065           0
     3.67696      0.1335           0
     3.86552      0.2645           0
     4.05408       0.043           0
     4.24264      0.0445           0
      4.4312       0.247           0
     4.61976       0.039           0
     4.80833       0.017           0
     4.99689           0           0
     5.18545           0           0
     5.37401           0           0
     5.56257           0           0
   0.0942809      0.0135  0.00159099
    0.282843       0.204   0.0219203
    0.471405      0.7055    0.161044
    0.659966      1.6255     0.48755
    0.848528       1.603    0.414011
     1.03709      2.0995    0.671575
     1.22565       3.709      1.0695
     1.41421       3.378     1.06349
     1.60278      3.8775    0.897672
     1.79134      4.9035    0.994192
      1.9799      6.2985     1.72658
     2.16846       8.186     2.23145
     2.35702     15.3495     3.82032
     2.54558     15.7195     14.6718
     2.73415      9.8175    0.503814
     2.92271        7.77     2.02303
     3.11127      7.0245     1.79128
     3.29983       5.781     1.48811
     3.48839      3.0035    0.776757
     3.67696       2.108    0.698091
     3.86552       1.971    0.603339
     4.05408       0.987    0.333754
     4.24264      0.7255     0.24077
      4.4312       0.933    0.242538
     4.61976       0.126   0.0307591
     4.80833      0.0195 0.000883883
     4.99689       0.061   0.0215668
     5.18545           0           0
     5.37401           0           0
     5.56257           0           0
   0.0942809      0.2315   0.0587293
    0.282843       0.613    0.120641
    0.471405       0.824    0.142854
    0.659966       1.007    0.325607
    0.848528      2.4825    0.484933
     1.03709      4.2655    0.958934
     1.22565       4.804     1.00598
     1.41421       4.647      1.0355
     1.60278      6.8045     1.28943
     1.79134      5.5235    0.862176
      1.9799       7.037     1.44018
     2.16846       7.862     1.67542
     2.35702       7.393     4.43921
     2.54558      9.5495     12.2208
     2.73415      12.613     1.01211
     2.92271      8.8515     1.72346
     3.11127      6.0175     1.26437
     3.29983      4.2665     1.00498
     3.48839      2.8865    0.582679
     3.67696      2.8185     0.65582
     3.86552       2.663    0.581945
     4.05408       1.596    0.368873
     4.24264       1.684    0.388275
      4.4312       0.659    0.162779
     4.61976      0.1465   0.0269055
     4.80833      0.5435    0.142956
     4.99689       0.187   0.0449551
     5.18545      0.0235  0.00639589
     5.37401           0           0
     5.56257           0           0
   0.0942809       0.004   0.0476263
    0.282843       0.087    0.103558
