throws,avg
0, 0
1, 0
2, 1
3, 1
4, 1
5, 1
6, 1
7, 1
8, 1
9, 2
10, 3
11, 4
12, 4
13, 4
14, 4
15, 5
16, 6
17, 6
18, 7
19, 8
20, 9
21, 10
22, 11
23, 11
24, 11
25, 12
26, 12
27, 13
28, 14
29, 15
30, 15
31, 16
32, 16
33, 17
34, 18
35, 19
36, 19
37, 20
38, 21
39, 21
40, 22
41, 22
42, 23
43, 23
44, 23
45, 23
46, 23
47, 23
48, 23
49, 23
50, 24
51, 25
52, 26
53, 26
54, 27
55, 28
56, 29
57, 29
58, 30
59, 30
60, 31
61, 31
62, 31
63, 32
64, 33
65, 33
66, 34
67, 34
68, 35
69, 35
70, 35
71, 35
72, 36
73, 37
74, 38
75, 38
76, 38
77, 38
78, 39
79, 39
80, 40
81, 41
82, 41
83, 42
84, 43
85, 43
86, 44
87, 44
88, 44
89, 44
90, 45
91, 45
92, 46
93, 47
94, 48
95, 48
96, 48
97, 49
98, 50
99, 51
100, 52
101, 52
102, 53
103, 54
104, 55
105, 56
106, 56
107, 57
108, 57
109, 58
110, 59
111, 60
112, 60
113, 61
114, 61
115, 62
116, 62
117, 62
118, 62
119, 63
120, 64
121, 64
122, 64
123, 65
124, 66
125, 66
126, 67
127, 67
128, 67
129, 67
130, 68
131, 69
132, 70
133, 71
134, 72
135, 73
136, 73
137, 73
138, 74
139, 75
140, 76
141, 76
142, 77
143, 78
144, 78
145, 79
146, 80
147, 81
148, 82
149, 83
150, 84
151, 85
152, 86
153, 87
154, 87
155, 88
156, 88
157, 89
158, 90
159, 91
160, 92
161, 92
162, 92
163, 92
164, 92
165, 92
166, 92
167, 93
168, 93
169, 94
170, 95
171, 95
172, 96
173, 97
174, 97
175, 98
176, 99
177, 100
178, 101
179, 101
180, 101
181, 101
182, 101
183, 102
184, 102
185, 102
186, 103
187, 103
188, 103
189, 104
190, 104
191, 104
192, 105
193, 105
194, 106
195, 106
196, 106
197, 106
198, 106
199, 106
200, 106
201, 106
202, 106
203, 106
204, 106
205, 106
206, 106
207, 106
208, 106
209, 106
210, 106
211, 107
212, 107
213, 108
214, 108
215, 108
216, 108
217, 109
218, 110
219, 110
220, 110
221, 110
222, 111
223, 112
224, 112
225, 112
226, 112
227, 112
228, 112
229, 112
230, 112
231, 113
232, 113
233, 113
234, 114
235, 115
236, 116
237, 117
238, 117
239, 118
240, 119
241, 119
242, 120
243, 121
244, 121
245, 122
246, 123
247, 124
248, 125
249, 125
250, 125
251, 125
252, 126
253, 127
254, 127
255, 128
256, 129
257, 130
258, 130
259, 131
260, 132
261, 132
262, 132
263, 132
264, 132
265, 133
266, 134
267, 135
268, 136
269, 137
270, 138
271, 139
272, 139
273, 139
274, 139
275, 139
276, 139
277, 139
278, 139
279, 139
280, 140
281, 140
282, 140
283, 141
284, 142
285, 142
286, 142
287, 143
288, 144
289, 145
290, 145
291, 146
292, 146
293, 147
294, 147
295, 147
296, 147
297, 147
298, 147
299, 147
300, 147
301, 148
302, 148
303, 149
304, 150
305, 150
306, 151
307, 151
308, 151
309, 152
310, 153
311, 153
312, 154
313, 154
314, 155
315, 156
316, 156
317, 156
318, 156
319, 156
320, 157
321, 157
322, 158
323, 158
324, 159
325, 159
326, 160
327, 161
328, 161
329, 161
330, 161
331, 161
332, 162
333, 163
334, 163
335, 163
336, 164
337, 165
338, 165
339, 166
340, 166
341, 167
342, 167
343, 168
344, 168
345, 169
346, 170
347, 170
348, 170
349, 170
350, 171
351, 172
352, 173
353, 173
354, 173
355, 173
356, 174
357, 174
358, 175
359, 176
360, 177
361, 178
362, 178
363, 179
364, 179
365, 179
366, 180
367, 181
368, 181
369, 182
370, 183
371, 183
372, 184
373, 185
374, 186
375, 186
376, 186
377, 186
378, 186
379, 186
380, 187
381, 188
382, 189
383, 190
384, 190
385, 191
386, 191
387, 192
388, 192
389, 193
390, 193
391, 193
392, 194
393, 195
394, 196
395, 197
396, 197
397, 198
398, 199
399, 199
400, 200
401, 201
402, 201
403, 201
404, 202
405, 202
406, 203
407, 204
408, 205
409, 206
410, 207
411, 207
412, 208
413, 208
414, 208
415, 209
416, 210
417, 211
418, 211
419, 211
420, 211
421, 211
422, 212
423, 213
424, 214
425, 215
