throws,avg
0, 0
1, 1
2, 2
3, 3
4, 4
5, 5
6, 5
7, 6
8, 6
9, 7
10, 8
11, 8
12, 8
13, 8
14, 8
15, 8
16, 9
17, 9
18, 10
19, 10
20, 11
21, 12
22, 12
23, 13
24, 14
25, 14
26, 14
27, 15
28, 15
29, 15
30, 16
31, 17
32, 18
33, 19
34, 20
35, 20
36, 20
37, 21
38, 22
39, 23
40, 24
41, 24
42, 24
43, 25
44, 26
45, 27
46, 28
47, 29
48, 30
49, 31
50, 31
51, 32
52, 33
53, 34
54, 34
55, 34
56, 35
57, 35
58, 36
59, 37
60, 38
61, 38
62, 39
63, 40
64, 41
65, 42
66, 42
67, 43
68, 43
69, 44
70, 44
71, 44
72, 45
73, 45
74, 46
75, 46
76, 47
77, 48
78, 49
79, 50
80, 51
81, 51
82, 52
83, 53
84, 54
85, 54
86, 54
87, 55
88, 56
89, 56
90, 56
91, 57
92, 58
93, 58
94, 58
95, 59
96, 59
97, 59
98, 59
99, 60
100, 60
101, 60
102, 61
103, 61
104, 62
105, 62
106, 62
107, 63
108, 64
109, 65
110, 65
111, 65
112, 65
113, 65
114, 65
115, 65
116, 65
117, 65
118, 65
119, 65
120, 66
121, 66
122, 66
123, 66
124, 67
125, 67
126, 68
127, 69
128, 70
129, 70
130, 71
131, 71
132, 71
133, 72
134, 72
135, 72
136, 73
137, 73
138, 73
139, 73
140, 74
141, 74
142, 75
143, 75
144, 75
145, 76
146, 77
147, 78
148, 79
149, 80
150, 80
151, 80
152, 80
153, 81
154, 82
155, 83
156, 83
157, 83
158, 84
159, 85
160, 85
161, 86
162, 87
163, 87
164, 88
165, 89
166, 89
167, 90
168, 91
169, 92
170, 92
171, 93
172, 93
173, 94
174, 95
175, 95
176, 95
177, 96
178, 97
179, 97
180, 98
181, 99
182, 99
183, 99
184, 99
185, 100
186, 100
187, 101
188, 102
189, 102
190, 102
191, 103
192, 104
193, 104
194, 105
195, 106
196, 107
197, 108
198, 108
199, 109
200, 110
201, 111
202, 112
203, 113
204, 113
205, 114
206, 115
207, 115
208, 116
209, 116
210, 117
211, 117
212, 118
213, 119
214, 120
215, 121
216, 122
217, 123
218, 124
219, 124
220, 125
221, 126
222, 126
223, 126
224, 127
225, 127
226, 128
227, 129
228, 129
229, 130
230, 131
231, 131
232, 132
233, 133
234, 133
235, 133
236, 133
237, 134
238, 135
239, 135
240, 135
241, 135
242, 136
243, 137
244, 137
245, 138
246, 139
247, 140
248, 140
249, 141
250, 142
251, 142
252, 143
253, 144
254, 145
255, 146
256, 147
257, 148
258, 149
259, 149
260, 149
261, 149
262, 149
263, 150
264, 151
265, 151
266, 151
267, 152
268, 152
269, 152
270, 153
271, 154
272, 155
273, 156
274, 156
275, 156
276, 156
277, 157
278, 157
279, 158
280, 158
281, 158
282, 159
283, 159
284, 159
285, 159
286, 160
287, 160
288, 160
289, 160
290, 160
291, 161
292, 162
293, 162
294, 163
295, 164
296, 164
297, 165
298, 165
299, 166
300, 166
301, 166
302, 167
303, 168
304, 169
305, 169
306, 170
307, 171
308, 172
309, 172
310, 173
311, 174
312, 174
313, 174
314, 175
315, 175
316, 176
317, 177
318, 177
319, 177
320, 178
321, 179
322, 180
323, 180
324, 180
325, 181
326, 182
327, 183
328, 184
329, 185
330, 186
331, 186
332, 187
333, 188
334, 188
335, 189
336, 190
337, 190
338, 190
339, 191
340, 191
341, 191
342, 191
343, 192
344, 192
345, 192
346, 193
347, 194
348, 194
349, 195
350, 196
351, 196
352, 197
353, 197
354, 197
355, 197
356, 198
357, 198
358, 198
359, 199
360, 200
361, 201
362, 202
363, 203
364, 204
365, 204
366, 204
367, 205
368, 205
369, 206
370, 206
371, 207
372, 208
373, 209
374, 209
375, 210
376, 210
377, 211
378, 212
379, 213
380, 213
381, 213
382, 213
383, 214
384, 214
385, 215
386, 216
387, 216
388, 216
389, 217
390, 218
391, 218
392, 219
393, 220
394, 221
395, 222
396, 222
397, 222
398, 222
399, 223
400, 224
401, 225
402, 226
403, 227
404, 228
405, 228
406, 229
407, 229
408, 230
409, 231
410, 232
411, 232
412, 232
413, 233
414, 234
415, 235
416, 235
417, 236
418, 237
419, 237
420, 238
421, 238
422, 239
423, 239
424, 239
425, 240
426, 241
427, 242
428, 243
429, 244
430, 245
431, 246
432, 246
433, 246
434, 247
435, 247
436, 248
437, 249
438, 249
439, 249
440, 250
441, 251
442, 252
443, 253
444, 254
445, 255
446, 255
447, 255
448, 256
449, 256
450, 257
451, 257
452, 258
453, 259
454, 260
455, 260
456, 261
457, 262
458, 262
459, 263
460, 263
461, 263
462, 264
463, 265
464, 265
465, 266
466, 266
467, 266
468, 267
469, 268
470, 268
471, 268
472, 269
473, 270
474, 271
475, 272
476, 272
477, 273
478, 274
479, 274
480, 275
481, 276
482, 276
483, 277
484, 278
485, 278
486, 278
487, 278
488, 278
489, 279
490, 280
491, 281
492, 282
493, 282
494, 283
495, 283
496, 283
497, 283
498, 284
499, 285
500, 286
501, 287
502, 287
503, 288
504, 288
505, 289
506, 290
507, 291
508, 291
509, 291
510, 292
511, 293
512, 294
513, 295
514, 296
515, 297
516, 298
517, 299
518, 299
519, 300
520, 300
521, 300
522, 301
523, 302
524, 302
525, 303
526, 304
527, 304
528, 305
529, 306
530, 307
531, 308
532, 309
533, 310
534, 310
535, 310
536, 311
537, 312
538, 313
539, 313
540, 314
541, 314
542, 314
543, 315
544, 315
545, 315
546, 316
547, 316
548, 317
549, 317
550, 317
551, 317
552, 317
553, 317
554, 318
555, 319
556, 320
557, 321
558, 322
559, 323
560, 324
561, 325
562, 325
563, 326
564, 327
565, 328
566, 328
567, 328
568, 328
569, 329
570, 329
571, 330
572, 331
573, 331
574, 332
575, 333
576, 333
577, 334
578, 334
579, 335
580, 336
581, 336
582, 337
583, 337
584, 338
585, 338
586, 339
587, 340
588, 341
589, 342
590, 342
591, 343
592, 344
593, 345
594, 346
595, 347
596, 347
597, 348
598, 348
599, 348
600, 349
601, 349
602, 349
603, 350
604, 351
605, 352
606, 352
607, 353
608, 353
609, 353
610, 354
611, 355
612, 356
613, 356
614, 356
615, 356
616, 357
617, 358
618, 359
619, 360
620, 360
621, 361
622, 362
623, 363
624, 363
625, 364
626, 364
627, 365
628, 366
629, 367
630, 368
631, 368
632, 368
633, 369
634, 369
635, 370
636, 371
637, 372
638, 372
639, 373
640, 374
641, 374
642, 374
643, 374
644, 375
645, 375
646, 376
647, 376
648, 377
649, 378
650, 378
651, 378
652, 378
653, 378
654, 378
655, 379
656, 380
657, 381
658, 382
659, 383
660, 383
661, 383
662, 384
663, 384
664, 385
665, 385
666, 386
667, 386
668, 387
669, 387
670, 388
671, 389
672, 390
673, 390
674, 391
675, 392
676, 393
677, 394
678, 395
679, 396
680, 396
681, 396
682, 397
683, 397
684, 397
685, 397
686, 398
687, 398
688, 399
689, 399
690, 400
691, 400
692, 401
693, 402
694, 403
695, 404
696, 404
697, 405
698, 405
699, 406
700, 406
701, 406
702, 407
703, 407
704, 408
705, 408
706, 409
707, 409
708, 409
709, 410
710, 411
711, 411
712, 411
713, 412
714, 412
715, 413
716, 413
717, 413
718, 413
719, 414
720, 414
721, 415
722, 415
723, 416
724, 417
725, 418
726, 418
727, 419
728, 420
729, 421
730, 422
731, 423
732, 424
733, 425
734, 425
735, 425
736, 426
737, 427
738, 427
739, 428
740, 429
741, 430
742, 430
743, 430
744, 430
745, 431
746, 431
747, 431
748, 431
749, 431
750, 431
751, 431
752, 431
753, 431
754, 432
755, 433
756, 434
757, 434
758, 435
759, 435
760, 435
761, 436
762, 437
763, 437
764, 438
765, 439
766, 440
767, 441
768, 441
769, 441
770, 442
771, 442
772, 443
773, 443
774, 444
775, 444
776, 444
777, 444
778, 444
779, 444
780, 445
781, 446
782, 446
783, 447
784, 448
785, 449
786, 449
787, 450
788, 451
789, 452
790, 453
791, 453
792, 454
793, 455
794, 456
795, 457
796, 457
797, 458
798, 458
799, 459
800, 459
801, 459
802, 460
803, 461
804, 461
805, 462
806, 462
807, 463
808, 464
809, 464
810, 465
811, 466
812, 466
813, 466
814, 467
815, 467
816, 468
817, 469
818, 470
819, 471
820, 472
821, 472
822, 473
823, 474
824, 475
825, 476
826, 477
827, 478
828, 478
829, 478
830, 479
831, 480
832, 480
833, 480
834, 481
835, 481
836, 481
837, 482
838, 482
839, 483
840, 483
841, 484
842, 485
843, 486
844, 487
845, 488
846, 488
847, 488
848, 488
849, 489
850, 490
851, 490
852, 491
853, 491
854, 492
855, 492
856, 493
857, 494
858, 495
859, 495
860, 495
