throws,avg
0, 0
1, 1
2, 2
3, 3
4, 3
5, 3
6, 3
7, 4
8, 4
9, 4
10, 4
11, 4
12, 5
13, 5
14, 6
15, 6
16, 7
17, 7
18, 7
19, 7
20, 8
21, 8
22, 9
23, 10
24, 10
25, 11
26, 11
27, 12
28, 12
29, 13
30, 14
31, 14
32, 15
33, 16
34, 17
35, 17
36, 17
37, 17
38, 18
39, 19
40, 19
41, 19
42, 19
43, 20
44, 21
45, 22
46, 22
47, 23
48, 23
49, 24
50, 24
51, 25
52, 26
53, 27
54, 27
55, 27
56, 27
57, 27
58, 28
59, 29
60, 29
61, 29
62, 29
63, 30
64, 30
65, 30
66, 30
67, 31
68, 31
69, 31
70, 31
71, 31
72, 32
73, 32
74, 32
75, 32
76, 32
77, 32
78, 32
79, 33
80, 34
81, 34
82, 34
83, 34
84, 34
85, 34
86, 34
87, 35
88, 35
89, 35
90, 35
91, 35
92, 36
93, 36
94, 36
95, 36
96, 36
97, 36
98, 36
99, 36
100, 36
101, 36
102, 37
103, 37
104, 37
105, 37
106, 37
107, 38
108, 39
109, 39
110, 40
111, 40
112, 40
113, 40
114, 40
115, 40
116, 41
117, 41
118, 41
119, 41
120, 41
121, 41
122, 41
123, 41
124, 41
125, 41
126, 41
127, 41
128, 42
129, 42
130, 43
131, 43
132, 43
133, 44
134, 44
135, 44
136, 45
137, 45
138, 45
139, 45
140, 45
141, 45
142, 45
143, 45
144, 46
145, 47
146, 47
147, 47
148, 48
149, 48
150, 48
151, 49
152, 49
153, 50
154, 51
155, 51
156, 51
157, 51
158, 52
159, 53
160, 53
161, 54
162, 54
163, 54
164, 54
165, 54
166, 54
167, 54
168, 54
169, 55
170, 55
171, 55
172, 55
173, 56
174, 57
175, 57
176, 58
177, 58
178, 58
179, 58
180, 59
181, 60
182, 60
183, 60
184, 60
185, 61
186, 61
187, 62
188, 63
189, 63
190, 63
191, 63
192, 63
193, 63
194, 64
195, 64
196, 65
197, 65
198, 65
199, 65
200, 66
201, 66
202, 67
203, 68
204, 68
205, 68
206, 69
207, 69
208, 70
209, 70
210, 71
211, 71
212, 71
213, 72
214, 72
215, 73
216, 73
217, 73
218, 73
219, 73
220, 73
221, 74
222, 75
223, 75
224, 75
225, 75
226, 75
227, 75
228, 75
229, 75
230, 76
231, 76
232, 77
233, 78
234, 78
235, 78
236, 78
237, 79
238, 80
239, 80
240, 80
241, 80
242, 81
243, 82
244, 83
245, 84
246, 85
247, 85
248, 85
249, 85
250, 85
251, 85
252, 85
253, 85
254, 86
255, 87
256, 87
257, 88
258, 88
259, 88
260, 88
261, 88
262, 88
263, 88
264, 88
265, 88
266, 88
267, 88
268, 88
269, 88
270, 88
271, 89
272, 89
273, 89
274, 89
275, 89
276, 89
277, 90
278, 90
279, 90
280, 90
281, 90
282, 90
283, 90
284, 90
285, 90
286, 91
287, 91
288, 91
289, 91
290, 91
291, 92
292, 93
293, 93
294, 94
295, 95
296, 95
297, 95
298, 95
299, 96
300, 96
301, 96
302, 97
303, 98
304, 98
305, 98
306, 99
307, 99
308, 100
309, 100
310, 100
311, 101
312, 101
313, 101
314, 102
315, 103
316, 103
317, 104
318, 104
319, 104
320, 104
321, 104
322, 104
323, 104
324, 105
325, 106
326, 106
327, 106
328, 106
329, 106
330, 106
331, 107
332, 107
333, 108
334, 108
335, 108
336, 108
337, 108
338, 108
339, 109
340, 109
341, 109
342, 109
343, 109
344, 110
345, 111
346, 112
347, 113
348, 113
349, 113
350, 113
351, 113
352, 113
353, 113
354, 113
355, 113
356, 113
357, 113
358, 113
359, 113
360, 113
361, 113
362, 113
363, 113
364, 113
365, 113
366, 113
367, 113
368, 113
369, 113
370, 113
371, 113
372, 113
373, 114
374, 114
375, 114
376, 114
377, 115
378, 115
379, 116
380, 116
381, 116
382, 116
383, 116
384, 117
385, 117
386, 117
387, 117
388, 117
389, 117
390, 117
391, 117
392, 118
393, 118
394, 118
395, 118
396, 118
397, 118
398, 118
399, 118
400, 118
401, 118
402, 118
403, 118
404, 118
405, 118
406, 118
407, 118
408, 119
409, 119
410, 120
411, 120
412, 120
413, 120
414, 120
415, 121
416, 121
417, 122
418, 122
419, 122
420, 122
421, 122
422, 123
423, 123
424, 123
425, 123
426, 123
427, 123
428, 124
429, 125
430, 126
431, 126
432, 126
433, 126
434, 126
435, 126
436, 126
437, 126
438, 127
439, 127
440, 128
441, 129
442, 130
443, 130
444, 130
445, 130
446, 130
447, 130
448, 130
449, 130
450, 131
451, 131
452, 132
453, 132
454, 132
455, 132
456, 132
457, 133
458, 133
459, 134
460, 134
461, 134
462, 135
463, 135
464, 135
465, 135
466, 135
467, 136
468, 137
469, 137
470, 138
471, 138
472, 138
473, 138
474, 139
475, 139
476, 139
477, 140
478, 141
479, 142
480, 142
481, 143
482, 144
483, 145
484, 146
485, 146
486, 147
487, 147
488, 147
489, 148
490, 149
491, 150
492, 150
493, 151
494, 152
495, 152
496, 152
497, 152
498, 152
499, 153
500, 153
501, 153
502, 153
503, 154
504, 154
505, 155
506, 156
507, 157
508, 157
509, 157
510, 158
511, 158
512, 159
513, 159
514, 160
515, 160
516, 160
517, 160
518, 161
519, 161
520, 161
521, 161
522, 161
523, 161
524, 161
525, 162
526, 163
527, 163
528, 164
529, 165
530, 165
531, 165
532, 165
533, 166
534, 166
535, 166
536, 166
537, 167
538, 167
539, 167
540, 167
541, 168
542, 169
543, 170
544, 170
545, 170
546, 170
547, 170
548, 170
549, 170
550, 170
551, 170
552, 170
553, 170
554, 170
555, 171
556, 171
557, 171
558, 172
559, 172
560, 173
561, 173
562, 173
563, 174
564, 174
565, 175
566, 175
567, 176
568, 176
569, 176
570, 176
571, 176
572, 177
573, 178
574, 178
575, 179
576, 179
577, 179
578, 179
579, 180
580, 181
581, 181
582, 182
583, 182
584, 183
585, 183
586, 183
587, 183
588, 183
589, 183
590, 183
591, 184
592, 184
593, 185
594, 186
595, 186
596, 186
597, 187
598, 187
599, 187
600, 188
601, 188
602, 188
603, 188
604, 189
605, 190
606, 190
607, 190
608, 190
609, 190
610, 191
611, 191
612, 192
613, 192
614, 192
615, 192
616, 192
617, 193
618, 194
619, 194
620, 194
621, 194
622, 195
623, 195
624, 195
625, 196
626, 196
627, 197
628, 198
629, 198
630, 199
631, 199
632, 199
633, 200
634, 200
635, 201
636, 202
637, 203
638, 203
639, 204
640, 204
641, 204
642, 204
643, 204
644, 204
645, 204
646, 204
647, 204
648, 204
649, 204
650, 204
651, 204
652, 204
653, 204
654, 204
655, 204
656, 204
657, 205
658, 206
659, 207
660, 207
661, 207
662, 207
663, 207
664, 208
665, 208
666, 209
667, 209
668, 210
669, 210
670, 210
671, 211
672, 212
673, 212
674, 213
675, 214
676, 215
677, 216
678, 217
679, 218
680, 218
681, 218
682, 219
683, 219
684, 219
685, 219
686, 219
687, 220
688, 221
689, 221
690, 221
691, 221
692, 222
693, 223
694, 224
695, 224
696, 224
697, 225
698, 225
699, 225
700, 225
701, 225
702, 226
703, 226
704, 226
705, 226
706, 227
707, 227
708, 227
709, 228
710, 229
711, 229
712, 229
713, 229
714, 229
715, 230
716, 230
717, 230
718, 230
719, 230
720, 230
721, 230
722, 230
723, 230
724, 230
725, 230
726, 231
727, 232
728, 233
729, 233
730, 233
731, 233
732, 234
733, 235
734, 235
735, 235
736, 236
737, 237
738, 237
739, 238
740, 239
741, 239
742, 239
743, 239
744, 240
745, 241
746, 241
747, 242
748, 242
749, 242
750, 242
751, 242
752, 243
753, 243
754, 243
755, 243
756, 243
757, 244
758, 244
759, 244
760, 244
761, 244
762, 244
763, 244
764, 245
765, 246
766, 247
767, 248
768, 248
769, 248
770, 248
771, 248
772, 248
773, 248
774, 248
775, 248
776, 249
777, 249
778, 249
779, 249
780, 250
781, 251
782, 251
783, 252
784, 252
785, 253
786, 253
787, 254
788, 255
789, 256
790, 256
791, 256
792, 256
793, 257
794, 257
795, 258
796, 258
797, 259
798, 259
799, 260
800, 261
801, 261
802, 262
803, 263
804, 263
805, 264
806, 264
807, 265
808, 265
809, 265
810, 266
811, 267
812, 268
813, 268
814, 268
815, 268
816, 268
817, 268
818, 269
819, 269
820, 269
821, 270
822, 271
823, 272
824, 273
825, 273
826, 273
827, 273
828, 273
829, 273
830, 274
831, 275
832, 275
833, 275
834, 276
835, 276
836, 277
837, 278
838, 278
839, 279
840, 279
841, 279
842, 279
843, 280
844, 280
845, 281
846, 281
847, 281
848, 281
849, 282
850, 282
851, 282
852, 283
853, 283
854, 284
855, 284
856, 285
857, 286
858, 287
859, 288
860, 288
