throws,avg,err
0, 1.59501, 0
10000, 1.53383, 0.0611775
20000, 1.53821, 0.0355908
30000, 1.51477, 0.0343867
40000, 1.52918, 0.0302842
50000, 1.53053, 0.0247634
60000, 1.51916, 0.0238145
70000, 1.52388, 0.0211567
80000, 1.51909, 0.0192647
90000, 1.5135, 0.0181137
100000, 1.51696, 0.016745
110000, 1.51698, 0.0152861
120000, 1.5128, 0.0146703
130000, 1.50951, 0.0139752
140000, 1.50522, 0.013698
150000, 1.50579, 0.0128259
160000, 1.50196, 0.0126432
170000, 1.50018, 0.012051
180000, 1.49923, 0.0114392
190000, 1.49941, 0.0108537
200000, 1.49982, 0.010332
210000, 1.50209, 0.0101088
220000, 1.49917, 0.0100905
230000, 1.50082, 0.0098013
240000, 1.50141, 0.0094196
250000, 1.5008, 0.00907061
260000, 1.50055, 0.00873189
270000, 1.50021, 0.00842109
280000, 1.50176, 0.00827206
290000, 1.50098, 0.00802945
300000, 1.50106, 0.00776651
310000, 1.50236, 0.00763056
320000, 1.50317, 0.00744052
330000, 1.50366, 0.00723477
340000, 1.50354, 0.00702601
350000, 1.5039, 0.00683761
360000, 1.50426, 0.0066598
370000, 1.50334, 0.00654678
380000, 1.50429, 0.00644716
390000, 1.5026, 0.00650732
400000, 1.50225, 0.00635618
410000, 1.50145, 0.00625426
420000, 1.50136, 0.00610776
430000, 1.50125, 0.00596835
440000, 1.50167, 0.00584901
450000, 1.50049, 0.00584033
460000, 1.50013, 0.00572594
470000, 1.49973, 0.00561994
480000, 1.50096, 0.00564127
490000, 1.50066, 0.00553594
500000, 1.50121, 0.00545496
510000, 1.50109, 0.00535054
520000, 1.50092, 0.00525115
530000, 1.50008, 0.00522121
540000, 1.49993, 0.00512755
550000, 1.501, 0.00514607
560000, 1.5009, 0.00505583
570000, 1.50214, 0.00511849
580000, 1.50262, 0.00505432
590000, 1.50398, 0.00515139
600000, 1.50386, 0.00506751
610000, 1.5044, 0.00501406
620000, 1.50409, 0.00494398
630000, 1.50369, 0.00488204
640000, 1.50286, 0.00487815
650000, 1.50185, 0.00490877
660000, 1.50068, 0.00497457
670000, 1.50133, 0.0049437
680000, 1.50125, 0.00487215
690000, 1.50153, 0.00480998
700000, 1.50097, 0.00477449
710000, 1.50007, 0.00479259
720000, 1.50003, 0.00472666
730000, 1.49907, 0.00476083
740000, 1.4984, 0.0047431
750000, 1.49763, 0.00474441
760000, 1.49767, 0.00468262
770000, 1.49808, 0.00463988
780000, 1.49789, 0.0045848
790000, 1.49787, 0.00452714
800000, 1.49724, 0.00451535
810000, 1.49761, 0.00447511
820000, 1.49726, 0.00443504
830000, 1.49724, 0.00438196
840000, 1.49753, 0.00434009
850000, 1.49726, 0.00429767
860000, 1.4974, 0.00425029
870000, 1.49685, 0.00423831
880000, 1.49695, 0.0041916
890000, 1.49685, 0.00414594
900000, 1.49687, 0.0041002
910000, 1.4967, 0.00405905
920000, 1.4974, 0.00407536
930000, 1.49685, 0.00406936
940000, 1.49672, 0.00402822
950000, 1.49674, 0.00398607
960000, 1.49662, 0.00394661
970000, 1.49654, 0.00390692
980000, 1.49684, 0.00387887
990000, 1.4967, 0.00384229
