throws,avg,err
0, 5.19249, 0
10000, 5.07744, 0.115048
20000, 5.0987, 0.0697424
30000, 5.05848, 0.0636341
40000, 5.05724, 0.0493065
50000, 5.07091, 0.0425155
60000, 5.03769, 0.0489352
70000, 5.05561, 0.0460147
80000, 5.04497, 0.0419535
90000, 5.04226, 0.0376219
100000, 5.04335, 0.0340475
110000, 5.04917, 0.0316221
120000, 5.04187, 0.0299917
130000, 5.0313, 0.0297097
140000, 5.01855, 0.0304567
150000, 5.01112, 0.0294404
160000, 5.00292, 0.0288451
170000, 5.00675, 0.0274639
180000, 5.0068, 0.0259783
190000, 5.00655, 0.0246465
200000, 5.00302, 0.0237076
210000, 5.01142, 0.0241162
220000, 5.00598, 0.0236778
230000, 5.01201, 0.0234588
240000, 5.00791, 0.0228712
250000, 5.00704, 0.0219911
260000, 5.00534, 0.0212291
270000, 5.00834, 0.0206744
280000, 5.01152, 0.0202006
290000, 5.01085, 0.0195269
300000, 5.00901, 0.0189759
310000, 5.01548, 0.0194793
320000, 5.01551, 0.0188798
330000, 5.01812, 0.0185008
340000, 5.01691, 0.0180053
350000, 5.01569, 0.0175401
360000, 5.01772, 0.017179
370000, 5.01526, 0.0168998
380000, 5.01999, 0.0171268
390000, 5.0156, 0.017262
400000, 5.01336, 0.0169843
410000, 5.0133, 0.0165751
420000, 5.00951, 0.0166229
430000, 5.009, 0.0162488
440000, 5.00787, 0.0159238
450000, 5.0063, 0.0156529
460000, 5.00386, 0.0155086
470000, 5.0029, 0.0152126
480000, 5.0044, 0.0149748
490000, 5.00368, 0.0146903
500000, 5.00686, 0.0147479
510000, 5.00724, 0.0144665
520000, 5.00478, 0.0144029
530000, 5.00363, 0.0141803
540000, 5.00152, 0.0140792
550000, 5.00485, 0.0142206
560000, 5.00547, 0.0139828
570000, 5.00878, 0.0141307
580000, 5.0076, 0.0139384
590000, 5.00939, 0.0138204
600000, 5.00911, 0.013595
610000, 5.00862, 0.0133829
620000, 5.00919, 0.0131811
630000, 5.00842, 0.0129963
640000, 5.00816, 0.0127975
650000, 5.00521, 0.012942
660000, 5.00482, 0.0127533
670000, 5.00463, 0.0125658
680000, 5.00381, 0.0124091
690000, 5.00187, 0.0123834
700000, 4.99991, 0.0123644
710000, 4.99831, 0.012296
720000, 4.99974, 0.0122094
730000, 4.99668, 0.0124243
740000, 4.99663, 0.0122576
750000, 4.99391, 0.0123978
760000, 4.99425, 0.0122405
770000, 4.99569, 0.0121684
780000, 4.99585, 0.0120145
790000, 4.99695, 0.0119139
800000, 4.9949, 0.0119424
810000, 4.99733, 0.0120432
820000, 4.99826, 0.0119331
830000, 4.99741, 0.0118204
840000, 4.99744, 0.0116805
850000, 4.99733, 0.0115445
860000, 4.99768, 0.0114165
870000, 4.99696, 0.0113088
880000, 4.99724, 0.0111844
890000, 4.99705, 0.0110609
900000, 4.99829, 0.011008
910000, 4.99905, 0.0109146
920000, 4.99843, 0.0108143
930000, 4.99751, 0.0107382
940000, 4.99534, 0.0108453
950000, 4.9936, 0.0108714
960000, 4.99194, 0.0108857
970000, 4.99236, 0.010782
980000, 4.99362, 0.0107473
990000, 4.9941, 0.0106498
