TEMP   M_AVE    ERROR
0    0.999999 1.16962e-06
0.1           1           0
0.2           1           0
0.3     0.99989 4.90408e-05
0.4    0.989581  0.00502263
0.5     0.90084   0.0103863
0.6    0.669384   0.0108655
0.7    0.436607   0.0114816
0.8    0.301469  0.00508143
0.9    0.202348  0.00419066
1    0.149202  0.00315695
1.1    0.112989  0.00241501
1.2    0.084994  0.00200461
1.3   0.0737616  0.00223103
1.4   0.0600397  0.00113411
1.5   0.0516151  0.00107969
1.6   0.0441181  0.00108378
1.7   0.0393535  0.00106111
1.8   0.0345329  0.00092994
1.9   0.0277968 0.000556325
2   0.0277945 0.000544088
2.1   0.0236325 0.000735929
2.2   0.0224872 0.000575008
2.3   0.0205375 0.000767994
2.4   0.0188587 0.000605275
2.5   0.0190435 0.000771433
2.6   0.0173125  0.00046637
2.7   0.0151257 0.000549394
2.8   0.0151162 0.000374314
2.9   0.0135099 0.000537815
