#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.062708    0.062708           0
           2    0.076672     0.06969  0.00493702
           3    0.073932    0.071104  0.00348796
           4    0.080614   0.0734815  0.00332907
           5    0.064936   0.0717724  0.00307079
           6    0.079558     0.07307  0.00281985
           7     0.06165   0.0714386  0.00285014
           8    0.076066    0.072017  0.00255189
           9    0.069734   0.0717633  0.00228092
          10    0.076844   0.0722714  0.00210866
          11     0.08344   0.0732867  0.00214754
          12    0.053294   0.0716207  0.00253372
          13     0.07457   0.0718475  0.00234895
          14    0.058016   0.0708596  0.00237989
          15    0.068586    0.070708  0.00222605
          16    0.092126   0.0720466  0.00245666
          17     0.06961   0.0719033  0.00231632
          18    0.084002   0.0725754  0.00228308
          19    0.089382     0.07346  0.00232798
          20    0.079492   0.0737616  0.00223103
