#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.419916    0.419916           0
           2    0.437875    0.428895  0.00634956
           3    0.441953    0.433248  0.00552712
           4     0.43889    0.434658  0.00432156
           5    0.425731    0.432873  0.00380826
           6    0.420395    0.430793  0.00369804
           7    0.397751    0.426073  0.00539869
           8    0.415394    0.424738  0.00488609
           9    0.444538    0.426938  0.00481305
          10    0.383225    0.422567   0.0059968
          11    0.397212    0.420262  0.00587794
          12    0.435143    0.421502  0.00551736
          13    0.402968    0.420076  0.00527394
          14    0.452811    0.422414  0.00539069
          15    0.389261    0.420204  0.00546566
          16    0.479409    0.423904  0.00625239
          17    0.426984    0.424086  0.00588723
          18    0.407325    0.423154  0.00563331
          19    0.445225    0.424316  0.00545527
          20    0.426146    0.424408  0.00518328
