#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     84.1406     84.1406           0
           2      76.817     80.4788     2.58925
           3      81.916     80.9579     1.76993
           4     86.2009     82.2686     1.74662
           5     75.5548     80.9259     1.84251
           6     76.5754     80.2008     1.67202
           7     77.0359     79.7487     1.49304
           8     76.0029     79.2804     1.37787
           9     80.5157     79.4177     1.23159
          10     77.8528     79.2612     1.11833
          11     78.0576     79.1518       1.022
          12     78.5521     79.1018    0.938054
          13     78.2747     79.0382    0.868051
          14     75.5158     78.7866     0.84172
          15     83.4867     79.0999    0.841911
          16     77.2893     78.9868    0.796861
          17     80.4326     79.0718    0.754512
          18     77.3858     78.9782    0.718385
          19     81.0586     79.0877    0.688869
          20     79.8764     79.1271    0.655554
