TEMP   TE_AVE    ERROR
0   -0.679999 7.79758e-07
0.1   -0.999954 4.46403e-05
0.2          -1           0
0.3    -0.99959 0.000184219
0.4   -0.995638 0.000504164
0.5   -0.974084 0.000678718
0.6   -0.936222 0.000684048
0.7   -0.891325 0.000589249
0.8   -0.848487 0.000404873
0.9    -0.80441 0.000347056
1   -0.761147 0.000371198
1.1   -0.720542 0.000320269
1.2    -0.68219 0.000317806
1.3   -0.646631 0.000407178
1.4   -0.613536 0.000265109
1.5   -0.582987  0.00026535
1.6   -0.553992 0.000247831
1.7   -0.529086 0.000323388
1.8   -0.504679 0.000275052
1.9   -0.482611 0.000197239
2   -0.462549 0.000271301
2.1   -0.443009 0.000204245
2.2   -0.425727 0.000305193
2.3   -0.409152 0.000237959
2.4   -0.394025 0.000222477
2.5   -0.379627 0.000294362
2.6   -0.366885 0.000249296
2.7   -0.354449 0.000192967
2.8   -0.342768 0.000289078
2.9   -0.332213 0.000331641
