#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.408812   -0.408812           0
           2   -0.409268    -0.40904  0.00016122
           3   -0.410768   -0.409616 0.000482427
           4   -0.408732   -0.409395 0.000409322
           5     -0.4073   -0.408976 0.000497672
           6    -0.40826   -0.408857 0.000428795
           7   -0.410148   -0.409041 0.000405283
           8   -0.409784   -0.409134 0.000365105
           9   -0.410128   -0.409244 0.000340834
          10   -0.410356   -0.409356  0.00032437
          11   -0.410484   -0.409458 0.000310679
          12    -0.40808   -0.409343  0.00030528
          13   -0.409804   -0.409379 0.000283846
          14    -0.40794   -0.409276 0.000281562
          15   -0.407792   -0.409177 0.000279633
          16   -0.407504   -0.409072 0.000281027
          17    -0.41056    -0.40916 0.000277784
          18    -0.40864   -0.409131  0.00026385
          19   -0.409252   -0.409137  0.00025004
          20   -0.409428   -0.409152 0.000237959
