#N_BLOCK:  ACCEPTANCE:
           1     1.1e-05
           2     5.5e-06
           3 3.66667e-06
           4    2.75e-06
           5     2.2e-06
           6 1.83333e-06
           7 1.57143e-06
           8   1.375e-06
           9 1.22222e-06
          10     1.1e-06
          11       1e-06
          12 9.16667e-07
          13 8.46154e-07
          14 7.85714e-07
          15 7.33333e-07
          16   6.875e-07
          17 6.47059e-07
          18 6.11111e-07
          19 5.78947e-07
          20     5.5e-07
           1    0.000915
           2   0.0004575
           3    0.000305
           4  0.00022875
           5    0.000183
           6   0.0001525
           7 0.000130714
           8 0.000114375
           9 0.000101667
          10    9.15e-05
          11 8.31818e-05
          12   7.625e-05
          13 7.03846e-05
          14 6.53571e-05
          15     6.1e-05
          16 5.71875e-05
          17 5.38235e-05
          18 5.08333e-05
          19 4.81579e-05
          20   4.575e-05
           1           0
           2           0
           3           0
           4           0
           5           0
           6           0
           7           0
           8           0
           9           0
          10           0
          11           0
          12           0
          13           0
          14           0
          15           0
          16           0
          17           0
          18           0
          19           0
          20           0
           1       2e-06
           2       7e-06
           3 0.000157333
           4   0.0001195
           5   0.0002636
           6     0.00022
           7 0.000189714
           8  0.00016775
           9 0.000153333
          10   0.0004698
          11 0.000427091
          12 0.000397667
          13 0.000368769
          14 0.000344429
          15 0.000325067
          16 0.000409125
          17 0.000387059
          18 0.000366111
          19 0.000346842
          20   0.0004063
           1     0.00324
           2    0.005744
           3  0.00451667
           4    0.003673
           5   0.0041596
           6  0.00384633
           7  0.00375543
           8  0.00377375
           9  0.00404156
          10    0.004305
          11  0.00429236
          12  0.00421275
          13  0.00430231
          14    0.004303
          15  0.00419173
          16    0.004609
          17  0.00452894
          18  0.00453744
          19  0.00446905
          20   0.0043669
           1    0.020822
           2    0.024855
           3    0.023991
           4    0.022687
           5   0.0239994
           6   0.0247507
           7   0.0252783
           8   0.0256798
           9    0.025598
          10    0.025675
          11   0.0257924
          12   0.0258602
          13   0.0259138
          14   0.0261897
          15   0.0258273
          16   0.0259934
          17   0.0259012
          18   0.0260009
          19   0.0259675
          20   0.0259248
           1    0.059474
           2    0.061683
           3    0.063821
           4   0.0629973
           5   0.0627752
           6    0.063103
           7    0.063207
           8   0.0637001
           9   0.0636258
          10   0.0631482
          11   0.0633815
          12   0.0633616
          13    0.063789
          14   0.0641676
          15   0.0641857
          16   0.0642134
          17   0.0639022
          18   0.0639577
          19   0.0638182
          20   0.0637569
           1    0.109378
           2    0.109061
           3    0.108523
           4    0.107521
           5    0.106823
           6    0.106855
           7    0.107334
           8    0.107708
           9    0.107636
          10    0.107716
          11    0.107836
          12    0.108339
          13     0.10845
          14    0.108774
          15    0.108574
          16    0.108804
          17    0.108546
          18    0.108583
          19    0.108627
          20     0.10864
           1    0.149864
           2    0.151064
           3    0.150806
           4    0.150737
           5    0.150618
           6     0.15034
           7    0.150721
           8    0.151254
           9    0.151327
          10    0.151251
          11    0.151564
          12    0.151715
          13    0.151689
          14    0.151618
          15    0.151594
          16    0.151542
          17     0.15155
          18    0.151369
          19    0.151475
          20    0.151555
           1    0.197045
           2    0.195764
           3    0.195776
           4    0.195665
           5    0.196193
           6     0.19599
