TEMP   M_AVE    ERROR
0    0.999999 1.16962e-06
0.1           1           0
0.2           1           0
0.3     0.99989 7.46486e-05
0.4    0.993909   0.0012961
0.5    0.867625   0.0176842
0.6    0.663072   0.0219057
0.7    0.457106   0.0107188
0.8    0.299181  0.00638513
0.9    0.208648  0.00485614
1    0.145561  0.00519742
1.1    0.117256  0.00291473
1.2   0.0855948  0.00251682
1.3   0.0734049  0.00185104
1.4   0.0614081  0.00173052
1.5    0.050262  0.00179285
1.6    0.043135   0.0015337
1.7    0.036026  0.00133761
1.8   0.0335755  0.00138608
1.9   0.0308497  0.00122888
2   0.0254747  0.00074809
2.1   0.0244043  0.00117868
2.2   0.0213489 0.000828441
2.3   0.0199237  0.00062852
2.4   0.0191365 0.000606272
2.5   0.0181542 0.000662671
2.6   0.0168359 0.000884877
2.7   0.0152615 0.000505878
2.8   0.0147881 0.000764233
2.9   0.0123619 0.000627972
