#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02504     0.02504           0
           2    0.028386    0.026713  0.00118299
           3    0.021036   0.0248207  0.00173472
           4    0.026502    0.025241  0.00135101
           5    0.028278   0.0258484  0.00120967
           6    0.020824    0.025011  0.00126512
           7    0.020938   0.0244291  0.00121083
           8    0.030874   0.0252347  0.00130014
           9    0.022546    0.024936  0.00118951
          10     0.01991   0.0244334  0.00117194
          11    0.024642   0.0244524  0.00106555
          12     0.02947   0.0248705  0.00105561
          13    0.027858   0.0251003 0.000999114
          14     0.03018   0.0254631 0.000991445
          15    0.027436   0.0255947 0.000934032
          16     0.02232     0.02539 0.000897798
          17     0.02464   0.0253459  0.00084607
          18    0.029188   0.0255593 0.000825552
          19    0.023778   0.0254656 0.000787408
          20    0.025648   0.0254747  0.00074809
