TEMP   CV_AVE    ERROR
0        -nan         nan
0.1           0           0
0.2           0           0
0.3  0.00930449  0.00537355
0.4    0.103993   0.0146515
0.5    0.330373  0.00791616
0.6    0.419793  0.00515508
0.7    0.433564  0.00344838
0.8    0.439434  0.00181647
0.9    0.437747   0.0019378
1    0.418437   0.0018548
1.1    0.395541  0.00135754
1.2    0.369965  0.00129233
1.3    0.344438 0.000895285
1.4    0.318257  0.00101411
1.5    0.293482 0.000943291
1.6    0.270581 0.000644219
1.7    0.249998 0.000788005
1.8    0.229139 0.000513744
1.9    0.213227 0.000670077
2     0.19614 0.000399876
2.1    0.182349  0.00059907
2.2    0.169445 0.000342565
2.3    0.157325    0.000449
2.4    0.145981 0.000323108
2.5    0.136867 0.000271591
2.6    0.127765 0.000341784
2.7    0.120145 0.000292595
2.8    0.112505 0.000191233
2.9    0.106005 0.000164052
