#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.105182    0.105182           0
           2    0.106241    0.105711 0.000374331
           3    0.106561    0.105994 0.000340214
           4    0.106729    0.106178  0.00030073
           5    0.104982    0.105939 0.000321972
           6    0.106241    0.105989 0.000272225
           7    0.106739    0.106096  0.00025353
           8    0.105075    0.105969 0.000251963
           9    0.106699     0.10605 0.000236688
          10    0.106784    0.106123 0.000224101
          11    0.106385    0.106147 0.000204986
          12    0.104819    0.106036 0.000215726
          13    0.105527    0.105997 0.000202664
          14    0.106127    0.106006 0.000188402
          15    0.107025    0.106074 0.000187681
          16    0.106543    0.106104  0.00017822
          17    0.106079    0.106102 0.000167742
          18    0.106235     0.10611 0.000158586
          19    0.104493    0.106024 0.000171547
          20    0.105638    0.106005 0.000164052
