TEMP   X_AVE    ERROR
0         inf         nan
0.1         500           0
0.2         250           0
0.3     166.411     0.16225
0.4     120.144    0.798498
0.5     78.1154     1.05561
0.6     43.0753    0.626547
0.7     25.1911    0.485153
0.8      15.129    0.212593
0.9     10.4222   0.0934381
1     7.35631    0.087296
1.1     5.56723   0.0383979
1.2     4.43539   0.0417269
1.3     3.56562   0.0165883
1.4     2.99503   0.0160854
1.5     2.51905   0.0170097
1.6     2.17203   0.0110661
1.7     1.90558   0.0080875
1.8     1.67722  0.00508363
1.9     1.51007   0.0076928
2     1.36117  0.00357638
2.1      1.2348  0.00587257
2.2     1.13114  0.00361667
2.3     1.03507  0.00432244
2.4     0.96032  0.00304954
2.5    0.889172  0.00373262
2.6    0.830813  0.00271521
2.7    0.781479  0.00291491
2.8    0.727055  0.00215569
2.9    0.687313  0.00186729
