#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.993892    0.993892           0
           2     1.04275     1.01832   0.0172737
           3     1.05604     1.03089   0.0154267
           4     1.04006     1.03319   0.0117392
           5     1.04672     1.03589  0.00969854
           6     1.06634     1.04097   0.0093156
           7     1.04023     1.04086  0.00798539
           8     1.02613     1.03902  0.00719658
           9     1.03653     1.03874  0.00640226
          10     1.01108     1.03598  0.00633172
          11     1.00939     1.03356  0.00620044
          12     1.04271     1.03432  0.00573048
          13     1.02897     1.03391  0.00530444
          14     1.05989     1.03577  0.00523997
          15     1.03476      1.0357  0.00489107
          16     1.01765     1.03457  0.00471362
          17     1.03757     1.03475  0.00443964
          18     1.07014     1.03671  0.00460797
          19     1.01294     1.03546  0.00453221
          20     1.02764     1.03507  0.00432244
