TEMP   TE_AVE    ERROR
0   -0.999997 3.31391e-06
0.1          -1           0
0.2          -1           0
0.3   -0.999786  0.00012454
0.4   -0.995557 0.000639669
0.5   -0.973425   0.0010344
0.6   -0.933723 0.000837721
0.7   -0.892494 0.000714709
0.8   -0.847825 0.000550697
0.9     -0.8044  0.00056185
1   -0.761386 0.000602987
1.1   -0.720179 0.000378085
1.2    -0.68244 0.000243278
1.3    -0.64675 0.000372603
1.4   -0.613849 0.000373404
1.5   -0.583188  0.00029091
1.6    -0.55481 0.000342906
1.7   -0.528488 0.000400116
1.8   -0.504547 0.000253926
1.9   -0.482568 0.000332763
2   -0.462501 0.000350764
2.1   -0.443136 0.000297472
2.2   -0.425465  0.00027896
2.3   -0.409553 0.000225145
2.4   -0.394544 0.000297215
2.5    -0.37994 0.000292348
2.6   -0.366874 0.000226518
2.7   -0.354612 0.000254552
2.8   -0.342348 0.000277935
2.9   -0.331525 0.000245236
