#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.899588   -0.899588           0
           2   -0.894428   -0.897008  0.00182434
           3   -0.891092   -0.895036  0.00201785
           4   -0.890864   -0.893993  0.00176245
           5   -0.896288   -0.894452  0.00146851
           6   -0.892056   -0.894053   0.0012769
           7    -0.89336   -0.893954  0.00109832
           8   -0.893412   -0.893886 0.000963111
           9   -0.889692    -0.89342 0.000962254
          10     -0.8951   -0.893588 0.000880572
          11   -0.887248   -0.893012 0.000970993
          12    -0.89382   -0.893079 0.000892411
          13   -0.887556   -0.892654 0.000919346
          14   -0.890616   -0.892509 0.000865128
          15   -0.895136   -0.892684 0.000824995
          16     -0.8916   -0.892616 0.000776208
          17   -0.893396   -0.892662 0.000731904
          18     -0.8897   -0.892497 0.000709499
          19      -0.897   -0.892734 0.000710633
          20    -0.88792   -0.892494 0.000714709
