TEMP   M_AVE    ERROR
0    0.999988 1.16962e-05
0.1           1           0
0.2           1           0
0.3    0.999993 6.82276e-06
0.4    0.995795  0.00151011
0.5    0.913132   0.0175338
0.6     0.64429   0.0313949
0.7    0.394136   0.0303002
0.8    0.289373   0.0201201
0.9    0.206095    0.013155
1    0.152319  0.00681862
1.1    0.105468  0.00807138
1.2    0.085375  0.00706046
1.3    0.073155  0.00541497
1.4    0.050028   0.0037601
1.5    0.047172  0.00386874
1.6    0.044115  0.00338341
1.7    0.037362  0.00349553
1.8     0.03598  0.00314135
1.9    0.034368  0.00251179
2     0.02731  0.00245602
2.1    0.022774  0.00252582
2.2    0.023281   0.0020638
2.3    0.017366  0.00151997
2.4    0.022389  0.00208722
2.5    0.019136  0.00175328
2.6    0.020803  0.00186371
2.7     0.01466  0.00175131
2.8    0.016732  0.00199877
2.9    0.013346  0.00119233
