#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1           1           1           0
           2           1           1           0
           3           1           1           0
           4           1           1           0
           5           1           1           0
           6           1           1           0
           7           1           1           0
           8           1           1           0
           9           1           1           0
          10           1           1           0
          11           1           1           0
          12           1           1           0
          13     0.99986    0.999989 1.03467e-05
          14           1     0.99999 9.63624e-06
          15           1    0.999991 9.01686e-06
          16           1    0.999991 8.47215e-06
          17           1    0.999992 7.98941e-06
          18           1    0.999992 7.55864e-06
          19           1    0.999993 7.17189e-06
          20           1    0.999993 6.82276e-06
