TEMP   CV_AVE    ERROR
0        -nan         nan
0.1   0.0246702   0.0240456
0.2           0           0
0.3   0.0177342  0.00790834
0.4    0.103544   0.0109038
0.5    0.328664  0.00629492
0.6    0.424408  0.00518328
0.7       0.436  0.00314926
0.8    0.437623  0.00230303
0.9    0.434967  0.00237483
1    0.418293  0.00200229
1.1     0.39772  0.00154712
1.2    0.371482   0.0011741
1.3    0.344746 0.000798675
1.4    0.318713 0.000875604
1.5    0.292792  0.00055121
1.6     0.27011 0.000752337
1.7    0.248974 0.000607585
1.8    0.228421 0.000460788
1.9    0.212727 0.000516866
2    0.196368  0.00031056
2.1    0.182436 0.000475033
2.2    0.169272 0.000353913
2.3    0.157079 0.000347034
2.4    0.146178 0.000254955
2.5    0.137215 0.000254454
2.6    0.128287 0.000279013
2.7    0.119827 0.000265744
2.8    0.112189 0.000280303
2.9    0.105871 0.000228564
