#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.137998    0.137998           0
           2    0.137826    0.137912 6.07681e-05
           3    0.136861    0.137561 0.000288907
           4    0.138342    0.137756 0.000274751
           5    0.135945    0.137394 0.000391502
           6    0.137832    0.137467 0.000332974
           7    0.137881    0.137526 0.000290615
           8    0.136282    0.137371 0.000292992
           9    0.139833    0.137644 0.000366537
          10     0.13668    0.137548 0.000342322
          11    0.136415    0.137445 0.000326321
          12    0.137108    0.137417  0.00030033
          13     0.13728    0.137406 0.000277412
          14    0.136729    0.137358 0.000261787
          15    0.135152    0.137211 0.000282647
          16    0.137991     0.13726 0.000269155
          17    0.137725    0.137287 0.000254712
          18    0.137816    0.137316 0.000242249
          19    0.134717     0.13718 0.000265324
          20    0.137894    0.137215 0.000254454
