TEMP   X_AVE    ERROR
0         inf         nan
0.1     499.817    0.178743
0.2         250           0
0.3     166.017    0.312429
0.4     120.415    0.620733
0.5     79.1271    0.655554
0.6     45.4065     0.48398
0.7     24.6647    0.299145
0.8     15.2251    0.187727
0.9     10.3763    0.111648
1     7.37852   0.0582933
1.1     5.58448   0.0430057
1.2     4.41098   0.0292711
1.3     3.57803   0.0174693
1.4     2.98722    0.013183
1.5     2.54029   0.0101172
1.6     2.18783  0.00956659
1.7     1.91042  0.00643485
1.8     1.67774  0.00730268
1.9     1.51412  0.00430611
2     1.36443  0.00502144
2.1     1.23186   0.0047192
2.2     1.13682  0.00336047
2.3     1.03577  0.00260593
2.4    0.955109  0.00228832
2.5     0.89465  0.00294761
2.6    0.830132  0.00241479
2.7    0.782553  0.00192744
2.8    0.729392  0.00235156
2.9     0.68831  0.00141295
