#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.59437     3.59437           0
           2     3.71366     3.65401   0.0421751
           3     3.57362     3.62722    0.035627
           4     3.49423     3.59397   0.0392811
           5      3.5599     3.58716   0.0320103
           6     3.49161     3.57123   0.0303792
           7      3.5986     3.57514   0.0262896
           8     3.48678      3.5641    0.025217
           9     3.55639     3.56324   0.0224296
          10     3.70164     3.57708   0.0240808
          11     3.61423     3.58046   0.0221273
          12     3.49603     3.57342   0.0213727
          13     3.57188      3.5733   0.0197289
          14     3.48032     3.56666   0.0194054
          15     3.50781     3.56274   0.0185041
          16     3.55831     3.56246   0.0173496
          17     3.60509     3.56497   0.0165093
          18     3.77827     3.57682   0.0193839
          19     3.58307     3.57715   0.0183664
          20     3.59479     3.57803   0.0174693
