#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.7614     -0.7614           0
           2   -0.761076   -0.761238 0.000114551
           3    -0.76364   -0.762039 0.000658187
           4    -0.76428   -0.762599 0.000692214
           5     -0.7626   -0.762599 0.000553772
           6    -0.76148   -0.762413  0.00049189
           7   -0.763156   -0.762519 0.000432931
           8     -0.7611   -0.762342  0.00041355
           9   -0.759384   -0.762013 0.000480746
          10   -0.758708   -0.761682 0.000534327
          11   -0.761592   -0.761674 0.000485815
          12   -0.761232   -0.761637 0.000446726
          13   -0.758832   -0.761422 0.000461549
          14   -0.761068   -0.761396 0.000429272
          15   -0.761956   -0.761434 0.000402272
          16   -0.760612   -0.761382 0.000380394
          17     -0.7623   -0.761436 0.000361828
          18   -0.760516   -0.761385 0.000345319
          19   -0.760784   -0.761353 0.000328591
          20   -0.757232   -0.761147 0.000371198
