#DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861           0           0
    0.987511           0           0
     1.01316           0           0
     1.03881           0           0
     1.06446           0           0
     1.09011           0           0
     1.11576           0           0
     1.14141           0           0
     1.16706           0           0
     1.19271    0.706754           0
     1.21836     30.6725           0
     1.24401           0           0
     1.26966           0           0
     1.29531           0           0
     1.32096           0           0
     1.34661           0           0
     1.37226           0           0
     1.39791           0           0
     1.42355           0           0
      1.4492           0           0
     1.47485           0           0
      1.5005           0           0
     1.52615           0           0
      1.5518           0           0
     1.57745           0           0
      1.6031           0           0
     1.62875           0           0
      1.6544           0           0
     1.68005           0           0
      1.7057     7.99753           0
     1.73135           0           0
       1.757           0           0
     1.78265           0           0
      1.8083           0           0
     1.83395           0           0
      1.8596           0           0
     1.88525           0           0
      1.9109           0           0
     1.93655           0           0
      1.9622           0           0
     1.98785           0           0
      2.0135           0           0
     2.03915           0           0
      2.0648           0           0
     2.09045     21.2984           0
      2.1161           0           0
     2.14174           0           0
     2.16739           0           0
     2.19304           0           0
     2.21869           0           0
     2.24434           0           0
     2.26999           0           0
     2.29564           0           0
     2.32129           0           0
     2.34694           0           0
     2.37259           0           0
     2.39824   0.0124863           0
     2.42389     7.90859           0
     2.44954           0           0
     2.47519           0           0
     2.50084           0           0
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861           0           0
    0.987511           0           0
     1.01316           0           0
     1.03881           0           0
     1.06446           0           0
     1.09011           0           0
     1.11576           0           0
     1.14141           0           0
     1.16706           0           0
     1.19271     3.40756     1.90976
     1.21836     28.0842      1.8302
     1.24401           0           0
     1.26966           0           0
     1.29531           0           0
     1.32096           0           0
     1.34661           0           0
     1.37226           0           0
     1.39791           0           0
     1.42355           0           0
      1.4492           0           0
     1.47485           0           0
      1.5005           0           0
     1.52615           0           0
      1.5518           0           0
     1.57745           0           0
      1.6031           0           0
     1.62875           0           0
      1.6544           0           0
     1.68005           0           0
      1.7057     7.93583   0.0436351
     1.73135   0.0598945   0.0423518
       1.757           0           0
     1.78265           0           0
      1.8083           0           0
     1.83395           0           0
      1.8596           0           0
     1.88525           0           0
      1.9109           0           0
     1.93655           0           0
      1.9622           0           0
     1.98785           0           0
      2.0135           0           0
     2.03915           0           0
      2.0648           0           0
     2.09045     21.2244   0.0522925
      2.1161   0.0721709   0.0510325
     2.14174           0           0
     2.16739           0           0
     2.19304           0           0
     2.21869           0           0
     2.24434           0           0
     2.26999           0           0
     2.29564           0           0
     2.32129           0           0
     2.34694           0           0
     2.37259           0           0
     2.39824    0.124863   0.0794626
     2.42389     7.79858   0.0777898
     2.44954           0           0
     2.47519           0           0
     2.50084           0           0
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861           0           0
    0.987511           0           0
     1.01316           0           0
     1.03881           0           0
     1.06446           0           0
     1.09011           0           0
     1.11576           0           0
     1.14141           0           0
     1.16706           0           0
     1.19271     5.35113     2.03452
     1.21836     26.2216     1.94976
     1.24401           0           0
     1.26966           0           0
     1.29531           0           0
     1.32096           0           0
     1.34661           0           0
     1.37226           0           0
     1.39791           0           0
     1.42355           0           0
      1.4492           0           0
     1.47485           0           0
      1.5005           0           0
     1.52615           0           0
      1.5518           0           0
     1.57745           0           0
      1.6031           0           0
     1.62875           0           0
      1.6544           0           0
     1.68005   0.0169621   0.0138495
      1.7057     7.74247    0.160532
     1.73135    0.231592    0.143006
       1.757           0           0
     1.78265           0           0
      1.8083           0           0
     1.83395           0           0
      1.8596           0           0
     1.88525           0           0
      1.9109           0           0
     1.93655           0           0
      1.9622           0           0
     1.98785           0           0
      2.0135           0           0
     2.03915           0           0
      2.0648   0.0336896   0.0275074
     2.09045     20.7396    0.397371
      2.1161    0.513215    0.361715
     2.14174           0           0
     2.16739           0           0
     2.19304           0           0
     2.21869           0           0
     2.24434           0           0
     2.26999           0           0
     2.29564           0           0
     2.32129           0           0
     2.34694           0           0
     2.37259           0           0
     2.39824    0.403725    0.233771
     2.42389     7.51744    0.235335
     2.44954  0.00797922  0.00651501
     2.47519           0           0
     2.50084           0           0
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861           0           0
    0.987511           0           0
     1.01316           0           0
     1.03881           0           0
     1.06446           0           0
     1.09011           0           0
     1.11576           0           0
     1.14141           0           0
     1.16706           0           0
     1.19271     6.81512     1.98388
     1.21836     24.7944     1.91469
     1.24401   0.0232024   0.0200939
     1.26966           0           0
     1.29531           0           0
     1.32096           0           0
     1.34661           0           0
     1.37226           0           0
     1.39791           0           0
     1.42355           0           0
      1.4492           0           0
     1.47485           0           0
      1.5005           0           0
     1.52615           0           0
      1.5518           0           0
     1.57745           0           0
      1.6031           0           0
     1.62875           0           0
      1.6544           0           0
     1.68005   0.0445256   0.0260327
      1.7057     7.49152    0.248452
     1.73135    0.449209    0.216844
       1.757           0           0
     1.78265           0           0
      1.8083           0           0
     1.83395           0           0
      1.8596           0           0
     1.88525           0           0
      1.9109           0           0
     1.93655           0           0
      1.9622           0           0
     1.98785           0           0
      2.0135           0           0
     2.03915           0           0
      2.0648    0.122125    0.079317
     2.09045     20.1275    0.608178
      2.1161     1.02643    0.520709
     2.14174           0           0
     2.16739           0           0
     2.19304           0           0
     2.21869           0           0
     2.24434           0           0
     2.26999           0           0
     2.29564           0           0
     2.32129           0           0
     2.34694           0           0
     2.37259           0           0
     2.39824    0.677384      0.2948
     2.42389     7.21797    0.313715
     2.44954   0.0388987   0.0272192
     2.47519           0           0
     2.50084           0           0
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861           0           0
    0.987511           0           0
     1.01316           0           0
     1.03881           0           0
     1.06446           0           0
     1.09011           0           0
     1.11576           0           0
     1.14141           0           0
     1.16706   0.0105451  0.00943186
     1.19271     7.86516     1.84417
     1.21836     23.6478     1.84337
     1.24401    0.148496    0.113213
     1.26966           0           0
     1.29531           0           0
     1.32096           0           0
     1.34661           0           0
     1.37226           0           0
     1.39791           0           0
     1.42355           0           0
      1.4492           0           0
     1.47485           0           0
      1.5005           0           0
     1.52615           0           0
      1.5518           0           0
     1.57745           0           0
      1.6031           0           0
     1.62875           0           0
      1.6544           0           0
     1.68005     0.11195   0.0638011
      1.7057     7.22247    0.312118
     1.73135    0.646861    0.247683
       1.757           0           0
     1.78265           0           0
      1.8083           0           0
     1.83395           0           0
      1.8596           0           0
     1.88525           0           0
      1.9109           0           0
     1.93655           0           0
      1.9622           0           0
     1.98785           0           0
      2.0135           0           0
     2.03915           0           0
      2.0648    0.299837    0.171148
     2.09045     19.3559    0.844384
      2.1161     1.61021    0.667959
     2.14174           0           0
     2.16739           0           0
     2.19304           0           0
     2.21869           0           0
     2.24434           0           0
     2.26999           0           0
     2.29564           0           0
     2.32129           0           0
     2.34694           0           0
     2.37259  0.00510311  0.00456436
     2.39824    0.916498    0.318372
     2.42389     6.93316    0.357602
     2.44954   0.0837818   0.0456702
     2.47519           0           0
     2.50084           0           0
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861           0           0
    0.987511           0           0
     1.01316           0           0
     1.03881           0           0
     1.06446           0           0
     1.09011           0           0
     1.11576           0           0
     1.14141           0           0
     1.16706   0.0263628   0.0164401
     1.19271     8.67456     1.70521
     1.21836      22.706     1.76036
     1.24401    0.293898    0.162846
     1.26966           0           0
     1.29531           0           0
