#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -5.30935    -5.30935           0
           2    -5.30693    -5.30814 0.000858529
           3    -5.30296    -5.30641  0.00152192
           4    -5.29745    -5.30417  0.00225087
           5    -5.29041    -5.30142   0.0030509
           6    -5.28181    -5.29815  0.00391954
           7    -5.27167    -5.29437  0.00485352
           8    -5.25996    -5.29007   0.0058499
           9    -5.24668    -5.28525  0.00690619
          10    -5.23182     -5.2799  0.00802036
          11    -5.21535    -5.27404  0.00919078
          12    -5.19726    -5.26764   0.0104162
          13    -5.17706    -5.26067   0.0117157
          14    -5.15568    -5.25317   0.0130603
          15    -5.13237    -5.24512   0.0144609
          16    -5.10688    -5.23648   0.0159304
          17    -5.07964    -5.22725   0.0174615
          18    -5.05089    -5.21745    0.019043
          19    -5.02032    -5.20708   0.0206748
          20    -4.98769    -5.19611   0.0223626
          21    -4.95365    -5.18456   0.0240945
          22    -4.91699     -5.1724   0.0258877
          23    -4.87837    -5.15962   0.0277396
          24    -4.83776    -5.14621   0.0296489
          25    -4.79486    -5.13215   0.0316188
          26    -4.75012    -5.11746    0.033644
          27    -4.70325    -5.10212   0.0357247
          28    -4.65371     -5.0861   0.0378686
          29    -4.60243    -5.06942   0.0400676
          30    -4.54814    -5.05205   0.0423324
          31    -4.49225    -5.03399   0.0446527
          32    -4.43324    -5.01522   0.0470385
          33    -4.37252    -4.99574   0.0494809
          34    -4.30931    -4.97555   0.0519815
          35    -4.24404    -4.95465   0.0545364
          36    -4.17642    -4.93303   0.0571456
          37    -4.10546    -4.91067   0.0598184
          38    -4.03158    -4.88753   0.0625578
          39    -3.95524    -4.86363   0.0653617
          40    -3.87519    -4.83892   0.0682391
          41    -3.79309    -4.81341   0.0711828
          42    -3.70819     -4.7871   0.0741927
          43    -3.62122    -4.75998   0.0772629
          44    -3.53119    -4.73205   0.0803958
          45    -3.43836    -4.70331   0.0835916
          46    -3.34346    -4.67374   0.0868444
          47    -3.24629    -4.64337   0.0901511
          48    -3.14617    -4.61218   0.0935135
          49    -3.04315    -4.58016   0.0969325
          50    -2.93732     -4.5473    0.100408
          51    -2.82924    -4.51362    0.103937
          52    -2.71854    -4.47909    0.107518
          53     -2.6051    -4.44374    0.111152
          54    -2.49027    -4.40756    0.114829
          55    -2.37323    -4.37057    0.118549
          56    -2.25537     -4.3328    0.122301
          57    -2.13591    -4.29426    0.126083
          58    -2.01409    -4.25495    0.129893
          59    -1.89084    -4.21488    0.133729
          60    -1.76782    -4.17409    0.137579
          61    -1.64285     -4.1326    0.141443
          62     -1.5181    -4.09043    0.145312
          63    -1.39283    -4.04761    0.149181
          64    -1.26873    -4.00419    0.153038
          65    -1.14362    -3.96018    0.156884
          66    -1.01991    -3.91563    0.160708
          67   -0.894932    -3.87055    0.164512
          68     -0.7718    -3.82498    0.168286
