#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.82449    -3.82449           0
           2    -3.82427    -3.82438 7.54238e-05
           3    -3.82406    -3.82427 0.000100484
           4    -3.82385    -3.82417 0.000119195
           5    -3.82363    -3.82406 0.000135045
           6    -3.82341    -3.82395 0.000149249
           7     -3.8232    -3.82384 0.000162403
           8    -3.82297    -3.82373 0.000174859
           9    -3.82274    -3.82362 0.000186849
          10    -3.82251    -3.82351 0.000198539
          11    -3.82227     -3.8234 0.000210056
          12    -3.82203    -3.82329 0.000221498
          13    -3.82148    -3.82315 0.000244341
          14    -3.82122    -3.82301 0.000262903
          15     -3.8208    -3.82286 0.000283763
          16    -3.82007    -3.82269 0.000315202
          17    -3.81933    -3.82249 0.000353201
          18    -3.81873    -3.82228 0.000390511
          19    -3.81811    -3.82206  0.00042711
          20    -3.81734    -3.82183 0.000466544
          21    -3.81685    -3.82159 0.000500962
          22    -3.81589    -3.82133 0.000541019
          23    -3.81492    -3.82105 0.000584911
          24    -3.81393    -3.82075 0.000631291
          25    -3.81278    -3.82043 0.000681942
          26    -3.81175     -3.8201 0.000732916
          27    -3.81071    -3.81975 0.000783928
          28    -3.80935    -3.81938 0.000839371
          29    -3.80827      -3.819 0.000893557
          30    -3.80672    -3.81859 0.000952852
          31     -3.8056    -3.81817  0.00100999
          32    -3.80401    -3.81773  0.00107098
          33    -3.80285    -3.81728  0.00112948
          34    -3.80166    -3.81682  0.00118597
          35    -3.80076    -3.81636   0.0012377
          36    -3.79998     -3.8159  0.00128421
          37    -3.79874    -3.81544  0.00133069
          38    -3.79732    -3.81496  0.00137848
          39    -3.79603    -3.81448  0.00142604
          40    -3.79412    -3.81397  0.00147839
          41    -3.79265    -3.81345  0.00153104
          42    -3.79116    -3.81292  0.00158389
          43    -3.79011    -3.81239  0.00163343
          44     -3.7889    -3.81185  0.00168125
          45    -3.78768    -3.81132  0.00172756
          46    -3.78691    -3.81079  0.00176958
