#N_BLOCK:  ACCEPTANCE:
           1    0.513576
           2     0.51162
           3    0.512162
           4     0.51206
           5    0.511823
           6    0.511624
           7    0.511198
           8    0.511452
           9    0.511302
          10    0.511248
          11    0.511235
          12    0.510842
          13    0.510891
          14    0.510969
          15    0.510891
          16    0.510849
          17    0.510789
          18    0.510814
          19    0.510902
          20     0.51087
          21    0.510977
          22    0.510899
          23     0.51093
          24    0.510761
          25    0.510704
          26    0.510701
          27    0.510709
          28    0.510653
          29    0.510594
          30    0.510572
          31    0.510596
          32     0.51051
          33     0.51049
          34    0.510437
          35    0.510463
          36    0.510471
          37    0.510552
          38    0.510568
          39     0.51051
          40    0.510505
          41    0.510477
          42    0.510437
          43    0.510395
          44    0.510447
          45    0.510431
          46    0.510396
          47     0.51036
          48    0.510339
          49    0.510336
          50    0.510256
          51     0.51028
          52    0.510287
          53    0.510246
          54    0.510205
          55    0.510222
          56    0.510187
          57    0.510147
          58    0.510106
          59    0.510157
          60    0.510123
          61    0.510146
          62    0.510149
          63    0.510155
          64    0.510178
          65    0.510204
          66    0.510238
          67    0.510266
          68    0.510272
          69    0.510278
          70     0.51028
          71    0.510269
          72    0.510237
          73    0.510211
          74     0.51023
          75    0.510257
          76    0.510263
          77     0.51027
          78    0.510274
          79    0.510269
          80    0.510233
          81    0.510261
          82    0.510272
          83    0.510276
          84    0.510249
          85    0.510271
          86    0.510258
          87    0.510284
          88    0.510237
          89    0.510242
          90    0.510225
          91    0.510253
          92    0.510237
          93    0.510228
          94    0.510238
          95    0.510209
          96    0.510195
          97    0.510205
          98    0.510188
          99    0.510205
         100    0.510215
